,seed,rmse,mae,target_tree_size,v,epochs,method
108,3,74.0627303069553,49.88459949490588,4,0.03,1000,Baseline (XGBoost)
109,3,73.1473550047192,49.71412202572215,5,0.03,1000,Baseline (XGBoost)
110,3,80.34867430711884,54.80076302687858,1,0.05,1000,Baseline (XGBoost)
111,3,81.34874211264541,55.815988538124245,2,0.05,1000,Baseline (XGBoost)
112,3,76.55939027047772,52.04853151050737,3,0.05,1000,Baseline (XGBoost)
113,3,74.20309721574658,50.3587017328164,4,0.05,1000,Baseline (XGBoost)
114,3,72.40770431274763,48.99453415224244,5,0.05,1000,Baseline (XGBoost)
115,3,80.82146546820587,55.10857323380632,1,0.08,1000,Baseline (XGBoost)
116,3,80.57073337291266,55.404673612066304,2,0.08,1000,Baseline (XGBoost)
117,3,75.71498942008313,51.34553529973688,3,0.08,1000,Baseline (XGBoost)
118,3,74.3501960684641,50.145736708944426,4,0.08,1000,Baseline (XGBoost)
119,3,72.53393497166132,49.18888164125186,5,0.08,1000,Baseline (XGBoost)
120,3,79.5458033192571,54.372093600974,1,0.1,1000,Baseline (XGBoost)
121,3,79.63121804900096,54.6828234943434,2,0.1,1000,Baseline (XGBoost)
122,3,76.19170484587113,51.55180451307054,3,0.1,1000,Baseline (XGBoost)
123,3,73.48045721657722,49.557229595812295,4,0.1,1000,Baseline (XGBoost)
124,3,74.02200075254213,50.32669828827752,5,0.1,1000,Baseline (XGBoost)
125,3,79.26379559867162,54.344300860944394,1,0.12,1000,Baseline (XGBoost)
126,3,78.9813264635116,53.97871826956639,2,0.12,1000,Baseline (XGBoost)
127,3,74.9490978915033,51.195423401530974,3,0.12,1000,Baseline (XGBoost)
128,3,73.92695036295825,50.16617119530114,4,0.12,1000,Baseline (XGBoost)
129,3,74.05854789148145,50.3554637015221,5,0.12,1000,Baseline (XGBoost)
130,3,80.44812702689988,55.400194292372845,1,0.15,1000,Baseline (XGBoost)
131,3,81.11394968775772,55.54905888816457,2,0.15,1000,Baseline (XGBoost)
132,3,76.28266887920692,51.716124677259536,3,0.15,1000,Baseline (XGBoost)
133,3,74.60713155757877,50.551089084693366,4,0.15,1000,Baseline (XGBoost)
134,3,72.90183366814364,48.79171284867421,5,0.15,1000,Baseline (XGBoost)
135,4,96.84591915309878,61.86854100022784,1,0.005,1000,Baseline (XGBoost)
136,4,84.33817035748079,55.690472208639896,2,0.005,1000,Baseline (XGBoost)
137,4,81.00101513058615,54.02740252244586,3,0.005,1000,Baseline (XGBoost)
138,4,77.75256073025739,52.36168512963641,4,0.005,1000,Baseline (XGBoost)
139,4,78.15618817366162,52.92180038503001,5,0.005,1000,Baseline (XGBoost)
140,4,82.7656591517154,55.19410912700407,1,0.01,1000,Baseline (XGBoost)
