,seed,rmse,mae,target_tree_size,v,epochs,method
74,2,78.50573998685809,54.76446336391198,5,0.08,1000,Baseline (XGBoost)
75,2,76.3223629446551,54.7010263873763,1,0.1,1000,Baseline (XGBoost)
76,2,77.12841584650859,54.328504829553125,2,0.1,1000,Baseline (XGBoost)
77,2,75.41173441334489,52.91822725961444,3,0.1,1000,Baseline (XGBoost)
78,2,76.24724229494073,53.430926297839676,4,0.1,1000,Baseline (XGBoost)
79,2,78.58493517902873,54.64513658355899,5,0.1,1000,Baseline (XGBoost)
80,2,75.97387744193985,54.55057701875016,1,0.12,1000,Baseline (XGBoost)
81,2,76.4868041831142,53.49265885948231,2,0.12,1000,Baseline (XGBoost)
82,2,74.88145826241366,52.42602233756804,3,0.12,1000,Baseline (XGBoost)
83,2,75.58979433683812,53.01927277396799,4,0.12,1000,Baseline (XGBoost)
84,2,79.52853252389356,55.64029255531143,5,0.12,1000,Baseline (XGBoost)
85,2,77.07891968460994,54.88527154287931,1,0.15,1000,Baseline (XGBoost)
86,2,77.09246877410008,54.088848647932984,2,0.15,1000,Baseline (XGBoost)
87,2,76.10445317794654,52.952258719235225,3,0.15,1000,Baseline (XGBoost)
88,2,77.22307420220443,54.00926717684202,4,0.15,1000,Baseline (XGBoost)
89,2,78.7850797054214,54.95735479889385,5,0.15,1000,Baseline (XGBoost)
90,3,78.05266031743581,54.52312852885093,1,0.005,1000,Baseline (XGBoost)
91,3,76.89329574449629,52.232323805570566,2,0.005,1000,Baseline (XGBoost)
92,3,78.4792509440423,52.89184697695803,3,0.005,1000,Baseline (XGBoost)
93,3,81.10315565309342,55.48388133995931,4,0.005,1000,Baseline (XGBoost)
94,3,81.69483694048569,55.240595818044916,5,0.005,1000,Baseline (XGBoost)
95,3,76.28453040286922,52.08542495735117,1,0.01,1000,Baseline (XGBoost)
96,3,76.49766811449865,51.532922535106074,2,0.01,1000,Baseline (XGBoost)
97,3,78.42373059133381,52.80040841088886,3,0.01,1000,Baseline (XGBoost)
98,3,80.66679036542543,54.882804631948666,4,0.01,1000,Baseline (XGBoost)
99,3,81.7101663339157,55.269975387912766,5,0.01,1000,Baseline (XGBoost)
100,3,75.65331855044052,51.309038594719325,1,0.02,1000,Baseline (XGBoost)
101,3,76.41643449255727,51.42266175762991,2,0.02,1000,Baseline (XGBoost)
102,3,78.57346444452423,52.87421047907696,3,0.02,1000,Baseline (XGBoost)
103,3,80.40622509006506,54.285531258965605,4,0.02,1000,Baseline (XGBoost)
104,3,81.81845346835802,55.23158126757052,5,0.02,1000,Baseline (XGBoost)
105,3,75.50380599147202,51.08393414515669,1,0.03,1000,Baseline (XGBoost)
106,3,76.06060767603893,50.984329166880634,2,0.03,1000,Baseline (XGBoost)
107,3,78.27607376134557,52.6268221836669,3,0.03,1000,Baseline (XGBoost)
108,3,80.49002019433703,54.5903233668452,4,0.03,1000,Baseline (XGBoost)
109,3,81.78742179252004,54.8493548327731,5,0.03,1000,Baseline (XGBoost)
110,3,75.34971505270505,50.886067811030806,1,0.05,1000,Baseline (XGBoost)
111,3,76.91727599039099,52.29319853644511,2,0.05,1000,Baseline (XGBoost)
112,3,78.21445685386588,52.51774295299443,3,0.05,1000,Baseline (XGBoost)
113,3,80.42132845997031,54.620158324262334,4,0.05,1000,Baseline (XGBoost)
114,3,81.40125503641167,55.06296889861568,5,0.05,1000,Baseline (XGBoost)
115,3,75.32147880699189,50.60328205633651,1,0.08,1000,Baseline (XGBoost)
116,3,76.04841175025794,50.83370545106069,2,0.08,1000,Baseline (XGBoost)
117,3,78.45226581490348,52.70090870181163,3,0.08,1000,Baseline (XGBoost)
118,3,81.13056633485428,54.764310496291785,4,0.08,1000,Baseline (XGBoost)
119,3,81.55822807600155,54.67218231409357,5,0.08,1000,Baseline (XGBoost)
120,3,75.56983547642965,50.97894758712591,1,0.1,1000,Baseline (XGBoost)
121,3,75.56492664561519,50.75802024554699,2,0.1,1000,Baseline (XGBoost)
122,3,78.56428627521834,52.61965699679458,3,0.1,1000,Baseline (XGBoost)
123,3,80.01191476201998,53.543895893354325,4,0.1,1000,Baseline (XGBoost)
124,3,81.72932034217196,54.810564282376184,5,0.1,1000,Baseline (XGBoost)
125,3,75.66074396312577,50.86757101322315,1,0.12,1000,Baseline (XGBoost)
126,3,76.8301917492964,51.63532293449854,2,0.12,1000,Baseline (XGBoost)
127,3,78.37926036351392,51.75217216509531,3,0.12,1000,Baseline (XGBoost)
128,3,79.9033927883106,53.848424224120855,4,0.12,1000,Baseline (XGBoost)
129,3,82.80003811120079,55.82255269393473,5,0.12,1000,Baseline (XGBoost)
130,3,75.58587073920168,50.46710830023264,1,0.15,1000,Baseline (XGBoost)
131,3,76.43042748367566,51.12639286975065,2,0.15,1000,Baseline (XGBoost)
132,3,77.80971568999787,51.475841729238695,3,0.15,1000,Baseline (XGBoost)
133,3,80.95846991285538,54.64431784187849,4,0.15,1000,Baseline (XGBoost)
