,seed,disturbance_level,rmse,mae,source_tree_size,target_tree_size,v,tau,epochs
131,1.0,2.0,0.8096932205152175,0.6322246086935158,1.0,3.0,0.1,0.99,300.0
132,1.0,2.0,1.0577559820446345,0.8276822024171541,2.0,1.0,0.1,0.97,300.0
133,1.0,2.0,1.118506455234378,0.8718627969593448,2.0,1.0,0.1,0.99,300.0
134,1.0,2.0,0.7597424024297573,0.5877867627405834,2.0,2.0,0.1,0.97,300.0
135,1.0,2.0,0.8100748708689279,0.6317565839192945,2.0,2.0,0.1,0.99,300.0
136,1.0,2.0,0.8431986703366693,0.6567056137978429,2.0,3.0,0.1,0.97,300.0
137,1.0,2.0,0.8342548810696281,0.6532718585595426,2.0,3.0,0.1,0.99,300.0
138,1.0,2.0,0.9957415651543902,0.776435324265408,3.0,1.0,0.1,0.97,300.0
139,1.0,2.0,1.082494540517993,0.8379256159336536,3.0,1.0,0.1,0.99,300.0
140,1.0,2.0,0.7740959062042377,0.5978776599801082,3.0,2.0,0.1,0.97,300.0
141,1.0,2.0,0.8432209588619727,0.6452486189068269,3.0,2.0,0.1,0.99,300.0
142,1.0,2.0,0.8444124805051856,0.6515891614733585,3.0,3.0,0.1,0.97,300.0
143,1.0,2.0,0.8780341942689028,0.6741059898713126,3.0,3.0,0.1,0.99,300.0
144,1.0,3.0,1.7445561225214428,1.3882577227848993,1.0,1.0,0.05,0.97,200.0
145,1.0,3.0,2.08830337590317,1.6780257356854542,1.0,1.0,0.05,0.99,200.0
146,1.0,3.0,1.1166227676065688,0.8790667545027838,1.0,2.0,0.05,0.97,200.0
147,1.0,3.0,1.3663076904094107,1.0863014814551717,1.0,2.0,0.05,0.99,200.0
148,1.0,3.0,0.9451748623581121,0.7387862017540309,1.0,3.0,0.05,0.97,200.0
149,1.0,3.0,1.1145385497996647,0.8793402250651545,1.0,3.0,0.05,0.99,200.0
150,1.0,3.0,1.6421034150315628,1.3111949988162757,2.0,1.0,0.05,0.97,200.0
151,1.0,3.0,1.9089210328719448,1.53926178535519,2.0,1.0,0.05,0.99,200.0
152,1.0,3.0,1.0982011356105883,0.8643598417143076,2.0,2.0,0.05,0.97,200.0
153,1.0,3.0,1.3226209863763532,1.0495783591201981,2.0,2.0,0.05,0.99,200.0
154,1.0,3.0,0.9382789939166335,0.7345262925554138,2.0,3.0,0.05,0.97,200.0
155,1.0,3.0,1.0969863292597208,0.8657745123183802,2.0,3.0,0.05,0.99,200.0
156,1.0,3.0,1.6105867421293858,1.2912880591398417,3.0,1.0,0.05,0.97,200.0
157,1.0,3.0,1.8816538801767313,1.5164021447215426,3.0,1.0,0.05,0.99,200.0
158,1.0,3.0,1.0886377215583471,0.8544788508176967,3.0,2.0,0.05,0.97,200.0
159,1.0,3.0,1.2942785554434801,1.0259027138127568,3.0,2.0,0.05,0.99,200.0
160,1.0,3.0,0.9214277956414604,0.7152167440582929,3.0,3.0,0.05,0.97,200.0
161,1.0,3.0,1.0789780494490473,0.8449516795530168,3.0,3.0,0.05,0.99,200.0
162,1.0,3.0,1.2132726288067035,0.9581124188937145,1.0,1.0,0.1,0.97,200.0
163,1.0,3.0,1.473074788153058,1.16899541063443,1.0,1.0,0.1,0.99,200.0
164,1.0,3.0,0.8263226292094781,0.652697347233358,1.0,2.0,0.1,0.97,200.0
165,1.0,3.0,0.9368601640556737,0.7414917793761939,1.0,2.0,0.1,0.99,200.0
166,1.0,3.0,0.8105831819463886,0.6387772052532029,1.0,3.0,0.1,0.97,200.0
167,1.0,3.0,0.8399695265182393,0.6626588355518064,1.0,3.0,0.1,0.99,200.0
