,seed,target_column,target_instances,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
109,1,Hgv,570,TradaBoostR2,20,0.5,1,2.752305364924929,2.0865515192728536,2.819296579789793,2.1524265213491605
110,1,Hgv,380,TradaBoostR2,30,0.5,1,2.874171014565231,2.1150218413837325,2.7126324746857216,2.052110910712619
111,1,Hgv,950,TradaBoostR2,10,0.1,1,2.2418246761600438,1.6043427083939603,2.203863306839833,1.5470743919291463
112,2,Hgv,95,TradaBoostR2,30,0.5,1,2.815127690225993,2.164403994649087,3.202325573498674,2.356211827831849
113,2,Hgv,285,TradaBoostR2,30,0.5,1,2.93656888679144,2.16035052968904,2.9319663417697712,2.18402479042782
114,1,Hgv,95,TradaBoostR2,30,0.5,1,8.62266051479273,4.95405531389277,8.488918334046,5.131665203197203
115,1,Hgv,855,TradaBoostR2,20,0.1,2,2.1767935623343897,1.596553545110717,2.264274099344993,1.635987142705886
116,1,Hgv,665,TradaBoostR2,20,0.5,2,2.4972356471830963,1.8889494772516744,2.613576586071129,1.9174371243580672
117,1,Hgv,760,TradaBoostR2,20,0.1,1,2.2278850685096203,1.6074691051813486,2.276946145439538,1.6377292017556546
118,2,Hgv,475,TradaBoostR2,20,0.1,2,2.4653731990645733,1.6278188082369611,2.144129139951028,1.5799135682245526
119,2,Hgv,380,TradaBoostR2,30,0.1,1,2.32235223709751,1.579104617087102,2.110282381158508,1.5547763985400511
120,1,Hgv,475,TradaBoostR2,20,0.5,2,3.05574374170359,2.168045227822691,3.069466980619341,2.203629102861425
121,1,Hgv,950,TradaBoostR2,10,0.1,2,2.203781556078478,1.6215029263457807,2.266016197631653,1.5752184263680225
122,2,Hgv,190,TradaBoostR2,30,0.1,2,2.259658408630026,1.6182604286460025,2.3366349721254216,1.67288320261951
123,1,Hgv,855,TradaBoostR2,20,0.5,1,2.771499451581726,2.146647473642599,2.8172884098797475,2.146658727005597
124,1,Hgv,570,TradaBoostR2,20,0.5,2,2.669130237125877,1.9350220062210923,2.57123220220428,1.922002169911752
125,2,Hgv,475,TradaBoostR2,20,0.5,1,2.846856253095504,2.0664766780728767,4.435179711401828,2.1961881577109468
126,1,Hgv,190,TradaBoostR2,30,0.1,2,2.5572326550746323,1.8192779376925343,2.994380884595755,2.0740319587849863
127,1,Hgv,950,TradaBoostR2,10,0.5,1,2.632365956895853,2.013293483770536,2.603888675244514,1.996451172667059
128,1,Hgv,285,TradaBoostR2,30,0.1,2,3.0271167367483534,2.049662806550966,3.3157216790766477,2.0668379298446946
129,1,Hgv,665,TradaBoostR2,30,0.1,1,2.336747404027653,1.718749413598105,2.3438603919361185,1.7083453781208129
130,1,Hgv,380,TradaBoostR2,30,0.5,2,2.776213101276644,1.9814462651660052,2.891867526177863,2.0773770598586685
131,2,Hgv,95,TradaBoostR2,30,0.5,2,3.53896325091392,2.4544577948553563,3.7961743524922102,2.488553130574983
132,2,Hgv,285,TradaBoostR2,30,0.5,2,2.6104670798989744,1.932605982563518,2.703439020399314,1.9951625184583832
133,1,Hgv,760,TradaBoostR2,20,0.1,2,2.2105041118366544,1.605381966883881,2.3366289648741985,1.6798250657693408
134,1,Hgv,475,TradaBoostR2,30,0.1,1,2.4510871201289213,1.7705300440513734,2.4870668642441527,1.8037747164710805
135,1,Hgv,95,TradaBoostR2,30,0.5,2,3.7015737030855966,2.5659940685217912,4.857244875408501,2.9455345764177423
