,seed,target_instances,d,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
1963,85,300,6,LADTransferTreeBoost,0.05,1,1,0.05,0.1,400,3.258748770843833,2.617468378623271,3.169732153109255,2.5800747233577437
1964,85,300,6,MTransferTreeBoost,0.05,1,1,0.05,0.1,400,1.2599411043902566,0.9961352522639302,1.266861919997046,1.0072872654210612
1965,85,300,6,LSTransferTreeBoost,0.05,1,1,0.05,0.5,400,1.4776242003296167,1.1751244139838237,1.480693571445353,1.1914528277323229
1966,85,300,6,LADTransferTreeBoost,0.05,1,1,0.05,0.5,400,2.3403984720845936,1.8755710711023634,2.2774019464165733,1.854839178173147
1967,85,300,6,MTransferTreeBoost,0.05,1,1,0.05,0.5,400,1.2666271740883728,1.0005802336983545,1.2728414960714731,1.0114709972740925
1968,85,300,6,LSTransferTreeBoost,0.05,1,1,0.05,0.9,400,1.486984746893918,1.1826341234153457,1.4921062053227307,1.2009406527500428
1969,85,300,6,LADTransferTreeBoost,0.05,1,1,0.05,0.9,400,1.4659628394741047,1.1565967566889452,1.4609710208754647,1.1680917476926125
1970,85,300,6,MTransferTreeBoost,0.05,1,1,0.05,0.9,400,1.2819616988645555,1.0140163031043306,1.2874100671023379,1.0237284187452005
1971,85,300,6,LSTransferTreeBoost,0.05,1,2,0.0,0.1,400,1.6509569151407335,1.267682368209122,1.6648170324931522,1.2560915321794215
1972,85,300,6,LADTransferTreeBoost,0.05,1,2,0.0,0.1,400,1.6179181988250961,1.2309936097075183,1.5647157209456695,1.2203618633460658
1973,85,300,6,MTransferTreeBoost,0.05,1,2,0.0,0.1,400,1.1172057079511137,0.8813401690528492,1.0959605894909703,0.8523892626950083
1974,85,300,6,LSTransferTreeBoost,0.05,1,2,0.0,0.5,400,1.566889590246506,1.1768847268872318,1.575482604466033,1.165679827095771
1975,85,300,6,LADTransferTreeBoost,0.05,1,2,0.0,0.5,400,1.4803660689841565,1.1419044143628925,1.4839559804295643,1.1586279157799713
1976,85,300,6,MTransferTreeBoost,0.05,1,2,0.0,0.5,400,1.2426435909030829,0.974222542404295,1.2085057679203657,0.9445556648361839
1977,85,300,6,LSTransferTreeBoost,0.05,1,2,0.0,0.9,400,3.295188161575039,2.6070333908567447,3.247374075779012,2.598306706065943
1978,85,300,6,LADTransferTreeBoost,0.05,1,2,0.0,0.9,400,3.249673826785122,2.5720930301879728,3.2276011094478063,2.5727014708396667
1979,85,300,6,MTransferTreeBoost,0.05,1,2,0.0,0.9,400,2.533810939960215,2.017047374917217,2.5212385525911554,2.0421295257957244
1980,85,300,6,LSTransferTreeBoost,0.05,1,2,0.01,0.1,400,1.722775015998087,1.333508045627254,1.7585989823279962,1.342417501333578
