,seed,method,d,v,target_tree_size,rmse,mae
77,11,xgboost_naive_transfer,3,0.08,4,1.9414063909370607,1.554486318007055
78,11,xgboost,3,0.08,5,1.7341109746413115,1.3485466185523196
79,11,xgboost_naive_transfer,3,0.08,5,2.002733618283819,1.6165786732903502
80,11,xgboost,3,0.08,6,1.9386450803035495,1.5171953801700848
81,11,xgboost_naive_transfer,3,0.08,6,2.031205182427319,1.6503283459880365
82,11,xgboost,3,0.08,7,2.0893914471165993,1.6364448333116588
83,11,xgboost_naive_transfer,3,0.08,7,2.1106553024203354,1.7342842134342313
84,11,xgboost,3,0.1,1,1.363129196071098,1.0666413409023785
85,11,xgboost_naive_transfer,3,0.1,1,2.13137701994504,1.7288836442919069
86,11,xgboost,3,0.1,2,1.4253741289636905,1.1106363589197221
87,11,xgboost_naive_transfer,3,0.1,2,1.8961120076502,1.494553836582373
88,11,xgboost,3,0.1,3,1.5266532740687375,1.1954864589062473
89,11,xgboost_naive_transfer,3,0.1,3,1.9015854858742633,1.5026144776455583
90,11,xgboost,3,0.1,4,1.6542042273267654,1.2958715407131454
91,11,xgboost_naive_transfer,3,0.1,4,1.94412782688162,1.5515658460302106
92,11,xgboost,3,0.1,5,1.7373259635729201,1.3475425023498513
93,11,xgboost_naive_transfer,3,0.1,5,2.0041364484278623,1.6209712167303327
94,11,xgboost,3,0.1,6,1.8956456372700237,1.4731578257694131
95,11,xgboost_naive_transfer,3,0.1,6,2.0547680647360695,1.667501628119772
96,11,xgboost,3,0.1,7,2.0731144267206925,1.640760487141208
97,11,xgboost_naive_transfer,3,0.1,7,2.093117228294513,1.7122969768275706
98,11,xgboost,3,0.12,1,1.3778805028914358,1.079114065843578
99,11,xgboost_naive_transfer,3,0.12,1,2.1153406561861314,1.7136034798782545
100,11,xgboost,3,0.12,2,1.4174890423932311,1.1111382273270902
101,11,xgboost_naive_transfer,3,0.12,2,1.923880369792339,1.5347485527191758
102,11,xgboost,3,0.12,3,1.5058284244040359,1.1792640311223679
103,11,xgboost_naive_transfer,3,0.12,3,1.8985630088395635,1.5001973375734845
104,11,xgboost,3,0.12,4,1.6560636553310961,1.285844912143091
105,11,xgboost_naive_transfer,3,0.12,4,1.98570248263902,1.607228358958229
106,11,xgboost,3,0.12,5,1.7183025184046044,1.3306383218639293
107,11,xgboost_naive_transfer,3,0.12,5,2.0215356443735497,1.632969315869073
108,11,xgboost,3,0.12,6,1.9301189281923794,1.522438616370171
109,11,xgboost_naive_transfer,3,0.12,6,2.0414995522889936,1.6507614943674558
110,11,xgboost,3,0.12,7,2.0429761894400564,1.6234883016467847
111,11,xgboost_naive_transfer,3,0.12,7,2.1476959803774105,1.7563114315907742
112,11,xgboost,3,0.15,1,1.3465327573679677,1.054649290246867
113,11,xgboost_naive_transfer,3,0.15,1,2.1241716012304623,1.7191118565443337
114,11,xgboost,3,0.15,2,1.478450434433022,1.1455095106005206
115,11,xgboost_naive_transfer,3,0.15,2,1.9146820481618556,1.5243778311594811
116,11,xgboost,3,0.15,3,1.521305872307179,1.201919612405655
117,11,xgboost_naive_transfer,3,0.15,3,1.927693513176333,1.539334098699851
118,11,xgboost,3,0.15,4,1.6452994870228101,1.3012367665551672
119,11,xgboost_naive_transfer,3,0.15,4,1.9430237241282435,1.5515049369766087
120,11,xgboost,3,0.15,5,1.7900102630818882,1.3970227239872763
121,11,xgboost_naive_transfer,3,0.15,5,2.024926456555105,1.6354830947624788
122,11,xgboost,3,0.15,6,1.958636659480579,1.53324468684683
123,11,xgboost_naive_transfer,3,0.15,6,2.026529424999431,1.6287773828161287
124,11,xgboost,3,0.15,7,2.117748641806302,1.6681228278434004
125,11,xgboost_naive_transfer,3,0.15,7,2.1057502576102705,1.7118324332474497
126,12,xgboost,3,0.005,1,2.460285903157063,1.9700306906144867
127,12,xgboost_naive_transfer,3,0.005,1,2.9088723984182474,2.291908505902365
128,12,xgboost,3,0.005,2,1.8766805378128812,1.4835134828956198
129,12,xgboost_naive_transfer,3,0.005,2,2.576608547428593,2.0233168216855115
130,12,xgboost,3,0.005,3,1.797822213440903,1.414984182007186
131,12,xgboost_naive_transfer,3,0.005,3,2.2338539395833665,1.7524895084180236
132,12,xgboost,3,0.005,4,1.785114373705433,1.4110392666061233
133,12,xgboost_naive_transfer,3,0.005,4,1.8791337799004915,1.4855779431840233
134,12,xgboost,3,0.005,5,1.8291871367435433,1.4383904164217765
135,12,xgboost_naive_transfer,3,0.005,5,1.6854204220443474,1.3310482646303048
136,12,xgboost,3,0.005,6,1.9259646142919822,1.5163687875298657
137,12,xgboost_naive_transfer,3,0.005,6,1.6508689166453538,1.2827489160483552
138,12,xgboost,3,0.005,7,2.0835847403827414,1.650268623674417
139,12,xgboost_naive_transfer,3,0.005,7,1.6582122756800652,1.2672491549785165
140,12,xgboost,3,0.01,1,1.9415935280243457,1.5511555313696492
