,seed,method,v,target_tree_size,rmse,mae
256,3,xgboost,0.005,3,7.364936126338359,5.008599607587294
257,3,xgboost_naive_transfer,0.005,3,7.592781652279237,5.57851690750079
258,3,xgboost,0.005,4,7.547391926929469,5.0613480137803535
259,3,xgboost_naive_transfer,0.005,4,7.559568617932265,5.553185289621844
260,3,xgboost,0.005,5,7.687548129060131,5.143080006807742
261,3,xgboost_naive_transfer,0.005,5,7.531376563586246,5.5344173062274615
262,3,xgboost,0.005,6,7.951037694067084,5.2871591678079835
263,3,xgboost_naive_transfer,0.005,6,7.53600391990061,5.523773805223001
264,3,xgboost,0.005,7,8.074145615532602,5.391208930666483
265,3,xgboost_naive_transfer,0.005,7,7.556606942276195,5.537825962689588
266,3,xgboost,0.01,1,7.2437644979573514,4.843206439797986
267,3,xgboost_naive_transfer,0.01,1,7.686139890394383,5.655697265328777
268,3,xgboost,0.01,2,7.268081414784605,4.910367899397775
269,3,xgboost_naive_transfer,0.01,2,7.651845500384638,5.610880874346827
270,3,xgboost,0.01,3,7.361729846255311,5.006807725026556
271,3,xgboost_naive_transfer,0.01,3,7.5883263972467585,5.578832485346073
272,3,xgboost,0.01,4,7.545468152739458,5.063029040499633
273,3,xgboost_naive_transfer,0.01,4,7.548095951725918,5.5461597215130185
274,3,xgboost,0.01,5,7.693904590734188,5.143206059457428
275,3,xgboost_naive_transfer,0.01,5,7.526882832542236,5.532172363812589
276,3,xgboost,0.01,6,7.93704699765069,5.267953218382766
277,3,xgboost_naive_transfer,0.01,6,7.547921066652005,5.535030750710582
278,3,xgboost,0.01,7,8.076818215521035,5.3875341264614045
279,3,xgboost_naive_transfer,0.01,7,7.554769076469154,5.533767412087401
280,3,xgboost,0.02,1,7.258409120074205,4.852489391458295
281,3,xgboost_naive_transfer,0.02,1,7.672125829800695,5.647899703879571
282,3,xgboost,0.02,2,7.270549948833648,4.912594077212978
283,3,xgboost_naive_transfer,0.02,2,7.637630127425293,5.6089731484014225
284,3,xgboost,0.02,3,7.352880226135514,4.998343361146552
285,3,xgboost_naive_transfer,0.02,3,7.570982706988562,5.57109591957482
286,3,xgboost,0.02,4,7.531687097636434,5.050192244264312
287,3,xgboost_naive_transfer,0.02,4,7.529150851459911,5.535138498965179
288,3,xgboost,0.02,5,7.6922921312217,5.139123164616639
289,3,xgboost_naive_transfer,0.02,5,7.52352000647519,5.531777426384979
290,3,xgboost,0.02,6,7.929919324819576,5.2590063554780935
291,3,xgboost_naive_transfer,0.02,6,7.533053360614995,5.522389993278201
292,3,xgboost,0.02,7,8.085098878709434,5.3876365819867535
293,3,xgboost_naive_transfer,0.02,7,7.532406482130437,5.5234614534408495
294,3,xgboost,0.03,1,7.234041558508848,4.837813035783128
295,3,xgboost_naive_transfer,0.03,1,7.672478879648692,5.647350631329468
296,3,xgboost,0.03,2,7.263571794510012,4.9115958481918955
297,3,xgboost_naive_transfer,0.03,2,7.6327675438979234,5.607440845577347
298,3,xgboost,0.03,3,7.384539162674791,5.0149671118238714
299,3,xgboost_naive_transfer,0.03,3,7.566421974656616,5.571297915074129
300,3,xgboost,0.03,4,7.526762244308007,5.038133134835749
301,3,xgboost_naive_transfer,0.03,4,7.52300494161455,5.535200511359482
302,3,xgboost,0.03,5,7.705114246819953,5.149634319043815
303,3,xgboost_naive_transfer,0.03,5,7.503364251375196,5.520896175947459
304,3,xgboost,0.03,6,7.934724875702766,5.259388755329699
305,3,xgboost_naive_transfer,0.03,6,7.531886408335728,5.521377481382764
306,3,xgboost,0.03,7,8.05805850417477,5.327536643972036
307,3,xgboost_naive_transfer,0.03,7,7.553669834366958,5.52906512745671
308,3,xgboost,0.05,1,7.225446233184424,4.834178569100051
309,3,xgboost_naive_transfer,0.05,1,7.654832066103681,5.646859412145517
310,3,xgboost,0.05,2,7.259114648917233,4.895665482354664
311,3,xgboost_naive_transfer,0.05,2,7.617565077683955,5.605067479067989
312,3,xgboost,0.05,3,7.371607656392911,5.000781296110945
313,3,xgboost_naive_transfer,0.05,3,7.5519433628962584,5.569325994319619
314,3,xgboost,0.05,4,7.511144781140049,5.010518835296312
315,3,xgboost_naive_transfer,0.05,4,7.515568641945713,5.535059567067657
316,3,xgboost,0.05,5,7.689925142806341,5.117598049958551
317,3,xgboost_naive_transfer,0.05,5,7.48965764821409,5.517335030640286
318,3,xgboost,0.05,6,7.915501286058121,5.2178441645945925
319,3,xgboost_naive_transfer,0.05,6,7.503504487626166,5.501368526522817
320,3,xgboost,0.05,7,8.074084782506905,5.355168901134435
321,3,xgboost_naive_transfer,0.05,7,7.511173896144349,5.50295678285184
322,3,xgboost,0.08,1,7.286559604586914,4.87520616637852
323,3,xgboost_naive_transfer,0.08,1,7.658394577949282,5.645483188274121
324,3,xgboost,0.08,2,7.23965078481025,4.887764137516585
325,3,xgboost_naive_transfer,0.08,2,7.62199967876005,5.609440789149567
326,3,xgboost,0.08,3,7.401364565598013,5.003006920411369
327,3,xgboost_naive_transfer,0.08,3,7.543380361181512,5.57808817948225
328,3,xgboost,0.08,4,7.521599492729335,5.000432783004644
329,3,xgboost_naive_transfer,0.08,4,7.497517021656514,5.535743295165834
330,3,xgboost,0.08,5,7.742477208171596,5.1039316660649705
331,3,xgboost_naive_transfer,0.08,5,7.486691618575161,5.518088081816896
332,3,xgboost,0.08,6,7.8803664444280175,5.203171391394903
333,3,xgboost_naive_transfer,0.08,6,7.533463275028908,5.5435393565541995
334,3,xgboost,0.08,7,8.074528132267515,5.32704366165878
335,3,xgboost_naive_transfer,0.08,7,7.504511283583372,5.514073274903081
336,3,xgboost,0.1,1,7.2379234522865685,4.834959055879201
337,3,xgboost_naive_transfer,0.1,1,7.646629570914819,5.656499109368763
338,3,xgboost,0.1,2,7.250506666539883,4.897415369644736
339,3,xgboost_naive_transfer,0.1,2,7.597710311061372,5.599241340816348
340,3,xgboost,0.1,3,7.368884351186601,4.984985677246416
341,3,xgboost_naive_transfer,0.1,3,7.551285243849893,5.586345922838471
342,3,xgboost,0.1,4,7.492744840132308,4.990397426503815
343,3,xgboost_naive_transfer,0.1,4,7.505729333077816,5.535681348461115
344,3,xgboost,0.1,5,7.670852552986237,5.082901409690831
345,3,xgboost_naive_transfer,0.1,5,7.495789244403413,5.531942504621741
346,3,xgboost,0.1,6,7.925867661985292,5.2227565462942085
347,3,xgboost_naive_transfer,0.1,6,7.509859662212712,5.523510882971543
348,3,xgboost,0.1,7,8.068265128745153,5.3295566816987
349,3,xgboost_naive_transfer,0.1,7,7.5672946364800175,5.536384799590835
350,3,xgboost,0.12,1,7.209682014151664,4.811010464053205
351,3,xgboost_naive_transfer,0.12,1,7.662971344549909,5.6522716867047835
352,3,xgboost,0.12,2,7.225860556037575,4.891167103199931
353,3,xgboost_naive_transfer,0.12,2,7.591413406559468,5.6109900579095875
354,3,xgboost,0.12,3,7.381676334326287,4.996583314863445
355,3,xgboost_naive_transfer,0.12,3,7.544226531024094,5.592033314038753
356,3,xgboost,0.12,4,7.54387272032917,5.01505566834996
357,3,xgboost_naive_transfer,0.12,4,7.513380717194503,5.555230553318156
358,3,xgboost,0.12,5,7.7367809088213635,5.128858547991576
359,3,xgboost_naive_transfer,0.12,5,7.481162989946642,5.5164220999173414
360,3,xgboost,0.12,6,7.927059401632641,5.208992063020406
361,3,xgboost_naive_transfer,0.12,6,7.512935280251706,5.526618414245376
362,3,xgboost,0.12,7,7.973585761280689,5.273491811178259
363,3,xgboost_naive_transfer,0.12,7,7.55946685253428,5.54777126677421
364,3,xgboost,0.15,1,7.225201089816032,4.832130873735468
365,3,xgboost_naive_transfer,0.15,1,7.644664669103139,5.655116827124734
366,3,xgboost,0.15,2,7.2717012387311355,4.917484832627787
367,3,xgboost_naive_transfer,0.15,2,7.57286138721641,5.592251178305448
368,3,xgboost,0.15,3,7.340971725476128,5.006115180675188
369,3,xgboost_naive_transfer,0.15,3,7.565503931112101,5.604407908967435
370,3,xgboost,0.15,4,7.45054713330666,4.955573568221115
371,3,xgboost_naive_transfer,0.15,4,7.52290804260203,5.554445346653214
372,3,xgboost,0.15,5,7.678340336047728,5.0847846065818185
373,3,xgboost_naive_transfer,0.15,5,7.528894012795064,5.548653320876398
374,3,xgboost,0.15,6,8.055740649405717,5.315702588740824
375,3,xgboost_naive_transfer,0.15,6,7.516786172701837,5.521463440804168
376,3,xgboost,0.15,7,8.08667479263555,5.284916584575658
377,3,xgboost_naive_transfer,0.15,7,7.620071457249284,5.599026747772543
