,seed,disturbance_level,rmse,mae,tree_size,v,epochs
74,1.0,1.0,1.2589857328763479,0.97897670287864,5.0,0.15,400.0
75,1.0,1.0,0.9901156470651667,0.7888356573323112,1.0,0.2,400.0
76,1.0,1.0,0.8606234425923652,0.6730127465593942,2.0,0.2,400.0
77,1.0,1.0,1.04607886203707,0.8200862398162418,3.0,0.2,400.0
78,1.0,1.0,1.1733395181271937,0.9068905150193374,4.0,0.2,400.0
79,1.0,1.0,1.2551149639648065,0.9748858530480237,5.0,0.2,400.0
80,1.0,1.0,1.0909968458695685,0.8628959032348059,1.0,0.05,500.0
81,1.0,1.0,0.9367780201816623,0.7265317222651273,2.0,0.05,500.0
82,1.0,1.0,1.0104826337243717,0.7832886669656245,3.0,0.05,500.0
83,1.0,1.0,1.1166135210186272,0.8642402197708386,4.0,0.05,500.0
84,1.0,1.0,1.248025268598669,0.9670587463736909,5.0,0.05,500.0
85,1.0,1.0,0.9841592922008299,0.7817655717948713,1.0,0.1,500.0
86,1.0,1.0,0.9089060067852882,0.7027191577345778,2.0,0.1,500.0
87,1.0,1.0,1.0293750859880082,0.7998039205838349,3.0,0.1,500.0
88,1.0,1.0,1.1434286486490666,0.8839868876733311,4.0,0.1,500.0
89,1.0,1.0,1.2340480307169992,0.954697476861223,5.0,0.1,500.0
90,1.0,1.0,0.9784116490575074,0.7777276920048423,1.0,0.15,500.0
91,1.0,1.0,0.9035359724701998,0.7052774969926886,2.0,0.15,500.0
92,1.0,1.0,1.04549520951163,0.8117454548777253,3.0,0.15,500.0
93,1.0,1.0,1.1311070769591616,0.8793439131577445,4.0,0.15,500.0
94,1.0,1.0,1.2589857500917956,0.9789767227627495,5.0,0.15,500.0
95,1.0,1.0,0.9912139014524196,0.7894231647012957,1.0,0.2,500.0
96,1.0,1.0,0.858255550622405,0.6713057322858315,2.0,0.2,500.0
97,1.0,1.0,1.0458430409633976,0.8198977455552502,3.0,0.2,500.0
98,1.0,1.0,1.173339601078602,0.9068906407255332,4.0,0.2,500.0
99,1.0,1.0,1.2551149630429503,0.974885849471745,5.0,0.2,500.0
100,1.0,1.0,1.0448670134384708,0.8279297435656917,1.0,0.05,600.0
101,1.0,1.0,0.9202225624363246,0.7135255568899426,2.0,0.05,600.0
102,1.0,1.0,1.0072768861886983,0.7812823720827548,3.0,0.05,600.0
103,1.0,1.0,1.1147447172526956,0.8628140199720269,4.0,0.05,600.0
104,1.0,1.0,1.247699771037451,0.9667725960227079,5.0,0.05,600.0
105,1.0,1.0,0.9773275737128243,0.776565352781119,1.0,0.1,600.0
106,1.0,1.0,0.9020403167371177,0.6975079835367476,2.0,0.1,600.0
107,1.0,1.0,1.0288895507711835,0.7994462235949251,3.0,0.1,600.0
108,1.0,1.0,1.1434779994473163,0.8840364459468436,4.0,0.1,600.0
109,1.0,1.0,1.2340478599525917,0.9546972531053866,5.0,0.1,600.0
110,1.0,1.0,0.9766594659930333,0.7762883342089394,1.0,0.15,600.0
111,1.0,1.0,0.9006467184646899,0.7031500832774098,2.0,0.15,600.0
112,1.0,1.0,1.0449814695408142,0.8114252544494525,3.0,0.15,600.0
113,1.0,1.0,1.131107078824627,0.879343919118209,4.0,0.15,600.0
114,1.0,1.0,1.2589857507986162,0.9789767239548424,5.0,0.15,600.0
115,1.0,1.0,0.9950094821844312,0.7921581228094885,1.0,0.2,600.0
116,1.0,1.0,0.8570082131095618,0.6701966237533977,2.0,0.2,600.0
117,1.0,1.0,1.0456632095415992,0.8197590909839352,3.0,0.2,600.0
118,1.0,1.0,1.173339604179295,0.9068906490701835,4.0,0.2,600.0
119,1.0,1.0,1.2551149621211284,0.9748858458954662,5.0,0.2,600.0
120,1.0,2.0,2.2068805003754397,1.7395417019508825,1.0,0.05,100.0
121,1.0,2.0,1.5218289881417222,1.181334233678808,2.0,0.05,100.0
122,1.0,2.0,1.2797941099199264,1.004104743121422,3.0,0.05,100.0
123,1.0,2.0,1.2684158798703755,0.994234790228613,4.0,0.05,100.0
124,1.0,2.0,1.3795647975337864,1.081611608089384,5.0,0.05,100.0
125,1.0,2.0,1.6093350818081582,1.2418878454028286,1.0,0.1,100.0
126,1.0,2.0,1.0475627546850417,0.8204238233232951,2.0,0.1,100.0
127,1.0,2.0,1.047332625914481,0.8242506542425625,3.0,0.1,100.0
128,1.0,2.0,1.1326290934931131,0.8921074851336691,4.0,0.1,100.0
129,1.0,2.0,1.312382151053372,1.032087082105744,5.0,0.1,100.0
130,1.0,2.0,1.30745734650105,1.0078714605932502,1.0,0.15,100.0
131,1.0,2.0,0.909952234895985,0.7203258408413833,2.0,0.15,100.0
132,1.0,2.0,0.9349666302700519,0.7368239093104924,3.0,0.15,100.0
133,1.0,2.0,1.1419561796994493,0.8971338269840038,4.0,0.15,100.0
134,1.0,2.0,1.2631849937488495,0.993512091971643,5.0,0.15,100.0
135,1.0,2.0,1.1638194564906819,0.9052112559585727,1.0,0.2,100.0
136,1.0,2.0,0.8680366281664327,0.6858091493675864,2.0,0.2,100.0
137,1.0,2.0,0.9907370755228102,0.7787378227806661,3.0,0.2,100.0
138,1.0,2.0,1.1658505895163613,0.9127204187684405,4.0,0.2,100.0
139,1.0,2.0,1.2946894969417144,1.0163117679165001,5.0,0.2,100.0
