,seed,disturbance_level,rmse,mae,target_tree_size,v,epochs,method
144,4,1,2.1276874661034513,1.701541865897948,5,0.01,1000,Baseline (XGBoost)
145,4,1,2.125621442654472,1.6857017847996367,1,0.02,1000,Baseline (XGBoost)
146,4,1,2.098127814530015,1.679475184411703,2,0.02,1000,Baseline (XGBoost)
147,4,1,2.13602791548879,1.689518004610577,3,0.02,1000,Baseline (XGBoost)
148,4,1,2.1937625759254895,1.732794620504959,4,0.02,1000,Baseline (XGBoost)
149,4,1,2.2046794499622493,1.7541375213341204,5,0.02,1000,Baseline (XGBoost)
150,4,1,2.1295588869198396,1.6896962130197013,1,0.03,1000,Baseline (XGBoost)
151,4,1,2.114742218766031,1.6938253461743429,2,0.03,1000,Baseline (XGBoost)
152,4,1,2.120588465634261,1.6807634264923494,3,0.03,1000,Baseline (XGBoost)
153,4,1,2.199851493347065,1.7330627340579468,4,0.03,1000,Baseline (XGBoost)
154,4,1,2.2081596908846075,1.754030311829302,5,0.03,1000,Baseline (XGBoost)
155,4,1,2.050112655590014,1.6253157192273207,1,0.05,1000,Baseline (XGBoost)
156,4,1,2.107935375585521,1.6849732875999894,2,0.05,1000,Baseline (XGBoost)
157,4,1,2.1083760475387807,1.672056974875236,3,0.05,1000,Baseline (XGBoost)
158,4,1,2.212558342463191,1.7422503399621532,4,0.05,1000,Baseline (XGBoost)
159,4,1,2.1540811306555168,1.721012820080089,5,0.05,1000,Baseline (XGBoost)
160,4,1,2.0536540508316343,1.6256753033955178,1,0.08,1000,Baseline (XGBoost)
161,4,1,2.0958430321992894,1.6725511067275503,2,0.08,1000,Baseline (XGBoost)
162,4,1,2.1083842334156575,1.6684776298607427,3,0.08,1000,Baseline (XGBoost)
163,4,1,2.205668920802562,1.739181703106357,4,0.08,1000,Baseline (XGBoost)
164,4,1,2.1611837548641004,1.7201047079246305,5,0.08,1000,Baseline (XGBoost)
165,4,1,2.0718896630287746,1.6460951160182689,1,0.1,1000,Baseline (XGBoost)
166,4,1,2.137470386112838,1.7042148632802196,2,0.1,1000,Baseline (XGBoost)
167,4,1,2.1092977107475614,1.676709668761411,3,0.1,1000,Baseline (XGBoost)
168,4,1,2.1158265098596156,1.6728953848221564,4,0.1,1000,Baseline (XGBoost)
169,4,1,2.1429903579585132,1.7051867099899474,5,0.1,1000,Baseline (XGBoost)
170,4,1,2.0174334770055373,1.6019815270498092,1,0.12,1000,Baseline (XGBoost)
171,4,1,2.0908588485882182,1.6665698978745673,2,0.12,1000,Baseline (XGBoost)
172,4,1,2.093729874286337,1.641923111434002,3,0.12,1000,Baseline (XGBoost)
173,4,1,2.164828771093127,1.7051326154233315,4,0.12,1000,Baseline (XGBoost)
174,4,1,2.204398997241991,1.7541806075982,5,0.12,1000,Baseline (XGBoost)
175,4,1,2.166976972576466,1.7183238579216147,1,0.15,1000,Baseline (XGBoost)
176,4,1,2.107714623452899,1.6815066630643503,2,0.15,1000,Baseline (XGBoost)
177,4,1,2.1642473302214045,1.712131520792881,3,0.15,1000,Baseline (XGBoost)
178,4,1,2.222642697648174,1.7399993014593806,4,0.15,1000,Baseline (XGBoost)
179,4,1,2.1943497726014036,1.7537509524138706,5,0.15,1000,Baseline (XGBoost)
180,5,1,2.302794570813894,1.8476626890207906,1,0.005,1000,Baseline (XGBoost)
181,5,1,1.874916960731863,1.5068762413652534,2,0.005,1000,Baseline (XGBoost)
182,5,1,2.09195869230823,1.6824742794844347,3,0.005,1000,Baseline (XGBoost)
183,5,1,2.20487334562439,1.7642477715531912,4,0.005,1000,Baseline (XGBoost)
184,5,1,2.385874089422033,1.8880979847362651,5,0.005,1000,Baseline (XGBoost)
185,5,1,1.888692623079312,1.4974689365051275,1,0.01,1000,Baseline (XGBoost)
186,5,1,1.7972547731657118,1.4465114313574823,2,0.01,1000,Baseline (XGBoost)
187,5,1,2.0914398242458794,1.6786740812526464,3,0.01,1000,Baseline (XGBoost)
188,5,1,2.1816526141648196,1.744746275938497,4,0.01,1000,Baseline (XGBoost)
189,5,1,2.383171469947673,1.8873864170311523,5,0.01,1000,Baseline (XGBoost)
190,5,1,1.8647339737592095,1.4762348803457166,1,0.02,1000,Baseline (XGBoost)
191,5,1,1.8074933921179437,1.4542391195309246,2,0.02,1000,Baseline (XGBoost)
192,5,1,2.0668143350352146,1.6604761217405504,3,0.02,1000,Baseline (XGBoost)
193,5,1,2.1832024011550604,1.7433843171330854,4,0.02,1000,Baseline (XGBoost)
194,5,1,2.3671939940593507,1.8722995049703965,5,0.02,1000,Baseline (XGBoost)
195,5,1,1.8259810324185244,1.4396734145212098,1,0.03,1000,Baseline (XGBoost)
196,5,1,1.810583330126184,1.454423619501742,2,0.03,1000,Baseline (XGBoost)
197,5,1,2.0514204872091955,1.6486033633939563,3,0.03,1000,Baseline (XGBoost)
198,5,1,2.1962220831828274,1.7521042448556565,4,0.03,1000,Baseline (XGBoost)
199,5,1,2.3638107166036697,1.8718819095979247,5,0.03,1000,Baseline (XGBoost)
200,5,1,1.818949190623693,1.4331057357683321,1,0.05,1000,Baseline (XGBoost)
201,5,1,1.7473702777711444,1.4019461666046948,2,0.05,1000,Baseline (XGBoost)
