,n_samples,time (s),Method
382,800,6.720966577529907,LAD
383,800,6.716095447540283,LAD
384,800,6.823110580444336,LAD
385,800,6.768134355545044,LAD
386,800,6.763089179992676,LAD
387,800,6.857295513153076,LAD
388,800,6.810355186462402,LAD
389,800,6.872647285461426,LAD
390,800,6.865765333175659,LAD
391,800,6.809524297714233,LAD
392,800,6.845984935760498,LAD
393,800,6.8774964809417725,LAD
394,800,6.695191383361816,LAD
395,800,6.470932245254517,LAD
396,800,6.707050561904907,LAD
397,800,6.694868564605713,LAD
398,800,6.7252278327941895,LAD
399,800,6.848900556564331,LAD
400,900,8.354318618774414,LAD
401,900,8.325777292251587,LAD
402,900,8.2433602809906,LAD
403,900,8.269820213317871,LAD
404,900,8.334896087646484,LAD
405,900,8.224710464477539,LAD
406,900,8.22862982749939,LAD
407,900,8.21569538116455,LAD
408,900,8.211439847946167,LAD
409,900,8.098732233047485,LAD
410,900,8.17591905593872,LAD
411,900,8.049511909484863,LAD
412,900,8.064563989639282,LAD
413,900,8.05197787284851,LAD
414,900,8.143435716629028,LAD
415,900,8.27422833442688,LAD
416,900,7.875970125198364,LAD
417,900,7.900365352630615,LAD
418,900,7.990011215209961,LAD
419,900,8.155765295028687,LAD
420,900,8.174912214279175,LAD
421,900,8.201995372772217,LAD
422,900,8.224815607070923,LAD
423,900,8.193665027618408,LAD
424,900,8.190885066986084,LAD
425,900,8.160405397415161,LAD
426,900,8.116973876953125,LAD
427,900,8.092346429824829,LAD
428,900,8.094869375228882,LAD
429,900,8.097107172012329,LAD
430,900,8.1789870262146,LAD
431,900,8.16892409324646,LAD
432,900,7.827531814575195,LAD
433,900,8.024839162826538,LAD
434,900,8.05895733833313,LAD
435,900,7.787038803100586,LAD
436,900,7.8631885051727295,LAD
437,900,8.052945137023926,LAD
438,900,8.081105709075928,LAD
439,900,8.155229568481445,LAD
440,900,8.152495384216309,LAD
441,900,8.303040027618408,LAD
442,900,8.357372999191284,LAD
443,900,8.262901544570923,LAD
444,900,8.21860957145691,LAD
445,900,8.174657821655273,LAD
446,900,8.245540618896484,LAD
447,900,8.18237566947937,LAD
448,900,8.09270715713501,LAD
449,900,7.845902681350708,LAD
450,1000,9.452965021133423,LAD
451,1000,9.72501277923584,LAD
452,1000,9.8494873046875,LAD
453,1000,9.85741662979126,LAD
454,1000,9.51163125038147,LAD
455,1000,9.728190898895264,LAD
456,1000,9.943060874938965,LAD
457,1000,9.938985347747803,LAD
458,1000,9.959780931472778,LAD
459,1000,9.94329833984375,LAD
460,1000,9.425075054168701,LAD
461,1000,9.561548709869385,LAD
462,1000,9.685031175613403,LAD
463,1000,9.64400053024292,LAD
464,1000,9.683809995651245,LAD
465,1000,9.803752899169922,LAD
466,1000,9.783190250396729,LAD
467,1000,9.971643924713135,LAD
468,1000,9.915141344070435,LAD
469,1000,10.058890104293823,LAD
470,1000,9.961612701416016,LAD
471,1000,9.901573657989502,LAD
472,1000,9.796327829360962,LAD
473,1000,9.948822736740112,LAD
474,1000,9.68534231185913,LAD
475,1000,9.577883005142212,LAD
476,1000,9.61511492729187,LAD
477,1000,10.15946364402771,LAD
478,1000,9.581546545028687,LAD
479,1000,9.439092636108398,LAD
