,seed,target_instances,d,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,1,100,8,LSTransferTreeBoost,0.1,1,1,0.01,0.9,2.0513065007674536,1.632693534526251,2.1303350048504783,1.6968430219581168
0,1,100,4,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1.9804602767152066,1.5818130489438667,2.0249132842441813,1.5917325579003354
0,1,100,6,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1.9804602767152066,1.5818130489438667,2.0249132842441813,1.5917325579003354
0,1,100,5,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1.9804602767152066,1.5818130489438667,2.0249132842441813,1.5917325579003354
0,1,100,1,LSTransferTreeBoost,0.1,1,1,0.01,0.5,1.755697944490312,1.4075920158379818,1.828284955146398,1.467501691198648
0,1,100,9,LSTransferTreeBoost,0.1,1,1,0.01,0.9,2.032596312058087,1.6267553114771343,2.131935130112821,1.712515259001495
0,1,100,2,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1.865152309009425,1.490328939534261,1.9052612094553214,1.5165426901372407
0,1,100,8,LSTransferTreeBoost,0.1,1,1,0.05,0.5,2.0474047278426495,1.6306646587930018,2.12566478816504,1.6895595959742824
0,1,100,7,LSTransferTreeBoost,0.1,1,1,0.01,0.5,2.0469116533790754,1.6338203268318612,2.1168803194210146,1.6824557595876095
0,1,100,10,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1.9214171842510426,1.540777466424163,1.9662561454878846,1.5492053706532796
0,1,100,4,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1.9974442567805961,1.5904364879861554,2.0418277899545734,1.6061376883599292
0,1,100,6,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1.9974442567805961,1.5904364879861554,2.0418277899545734,1.6061376883599292
0,1,100,5,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1.9974442567805961,1.5904364879861554,2.0418277899545734,1.6061376883599292
0,1,100,9,LSTransferTreeBoost,0.1,1,1,0.05,0.5,2.0525068558768846,1.6276916151675005,2.155620828395949,1.7213750765987506
0,1,100,3,LSTransferTreeBoost,0.1,1,1,0.01,0.5,2.0469116533790754,1.6338203268318612,2.1168803194210146,1.6824557595876095
0,1,100,1,LSTransferTreeBoost,0.1,1,1,0.01,0.9,1.7052954090997707,1.3666087992793396,1.7699222457225354,1.4118471421416898
0,1,100,2,LSTransferTreeBoost,0.1,1,1,0.01,0.5,1.8990130488259556,1.5234178826011422,1.9845306193537586,1.5913165356526886
0,1,100,8,LSTransferTreeBoost,0.1,1,1,0.05,0.9,2.0512470099820916,1.635692521741692,2.1292419338368895,1.6922485316020466
0,1,100,9,LSTransferTreeBoost,0.1,1,1,0.05,0.9,2.0330754700105227,1.6199806053193015,2.140810158581044,1.716552140003316
0,1,100,10,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1.912519940546089,1.537137210755687,1.9539844762824856,1.543098758741477
0,1,100,8,LSTransferTreeBoost,0.1,1,2,0.01,0.5,1.9911562004126928,1.593424682659235,2.025436392110289,1.595852686895305
0,1,100,7,LSTransferTreeBoost,0.1,1,1,0.01,0.9,2.0513065007674536,1.632693534526251,2.1303350048504783,1.6968430219581168
0,1,100,1,LSTransferTreeBoost,0.1,1,1,0.05,0.5,2.0305600562471837,1.6414689335628831,2.074588264396163,1.665752804439217
0,1,100,4,LSTransferTreeBoost,0.1,1,1,0.01,0.5,2.0469116533790754,1.6338203268318612,2.1168803194210146,1.6824557595876095
0,1,100,9,LSTransferTreeBoost,0.1,1,2,0.01,0.5,1.9294640527315803,1.54671100295006,2.004011165077091,1.5917867328374031
0,1,100,6,LSTransferTreeBoost,0.1,1,1,0.01,0.5,2.0469116533790754,1.6338203268318612,2.1168803194210146,1.6824557595876095
0,1,100,5,LSTransferTreeBoost,0.1,1,1,0.01,0.5,2.0469116533790754,1.6338203268318612,2.1168803194210146,1.6824557595876095
0,1,100,3,LSTransferTreeBoost,0.1,1,1,0.01,0.9,2.0513065007674536,1.632693534526251,2.1303350048504783,1.6968430219581168
0,1,100,8,LSTransferTreeBoost,0.1,1,2,0.01,0.9,1.9806088080825917,1.5808202446319224,2.025086105609165,1.594875086984388
0,1,100,1,LSTransferTreeBoost,0.1,1,1,0.05,0.9,1.9941996581247268,1.6173268621356665,2.04590883147171,1.6474326155195589
0,1,100,2,LSTransferTreeBoost,0.1,1,1,0.01,0.9,1.8874240017776294,1.516295212068563,1.969551139840403,1.5827462347332923
0,1,100,10,LSTransferTreeBoost,0.1,1,1,0.01,0.5,2.0456659870619953,1.6350533167307566,2.128778020674199,1.7040719437005567
0,1,100,7,LSTransferTreeBoost,0.1,1,1,0.05,0.5,2.0474047278426495,1.6306646587930018,2.12566478816504,1.6895595959742824
0,1,100,8,LSTransferTreeBoost,0.1,1,2,0.05,0.5,1.9934323398936356,1.5951264176268387,2.034377902198665,1.5988413083170023
0,1,100,2,LSTransferTreeBoost,0.1,1,1,0.05,0.5,2.0937170633080293,1.701930960487425,2.1545732568700138,1.7290952006756803
0,1,100,1,LSTransferTreeBoost,0.1,1,2,0.01,0.5,1.7103063691607123,1.363021374631654,1.7439399176283186,1.3932809521194567
0,1,100,9,LSTransferTreeBoost,0.1,1,2,0.01,0.9,1.9033006919336608,1.5355008306004803,1.9757558334877003,1.5745026597772667
0,1,100,8,LSTransferTreeBoost,0.1,1,2,0.05,0.9,1.9544979750494782,1.5671647299312101,1.984129205626458,1.5543366499408755
0,1,100,3,LSTransferTreeBoost,0.1,1,1,0.05,0.5,2.0474047278426495,1.6306646587930018,2.12566478816504,1.6895595959742824
0,1,100,4,LSTransferTreeBoost,0.1,1,1,0.01,0.9,2.0513065007674536,1.632693534526251,2.1303350048504783,1.6968430219581168
0,1,100,9,LSTransferTreeBoost,0.1,1,2,0.05,0.5,1.9612259754264705,1.5697594158583656,2.030857015567869,1.6023333956241554
