,seed,target_column,target_instances,method,base_lr,fine_tuning_lr,dropout_rate,batch_norm,val_rmse,val_mae,rmse,mae
0,2,Volume,285,MLP,0.0001,5e-05,0.0,False,80.935814,57.900837,84.56392,61.057636
0,2,Volume,285,MLP,0.0001,5e-05,0.1,False,89.25518,62.819183,94.187355,66.30024
0,2,Dgv,285,MLP,0.0005,0.0001,0.0,False,7.8324146,5.3674464,7.199278,5.103711
0,2,Dgv,285,MLP,0.0005,0.0001,0.1,False,12.120369,9.497073,11.451095,9.099087
0,2,Dgv,285,MLP,0.0005,5e-05,0.0,False,8.441418,5.935072,7.549106,5.4940257
0,2,Dgv,285,MLP,0.0005,5e-05,0.1,False,9.967716,7.4123096,9.725031,7.431585
0,2,Dgv,285,MLP,0.0001,0.0001,0.0,False,7.604751,5.2952437,6.906807,4.9831395
0,2,Dgv,285,MLP,0.0001,0.0001,0.1,False,15.284848,11.980931,15.328196,11.879945
0,2,Dgv,285,MLP,0.0001,5e-05,0.0,False,8.564434,5.649788,7.5813513,5.432549
0,2,Dgv,285,MLP,0.0001,5e-05,0.1,False,11.631017,8.810687,11.312041,8.809691
0,2,Volume,380,MLP,0.0005,0.0001,0.0,False,75.832756,52.67881,77.059784,54.881004
0,2,Volume,380,MLP,0.0005,0.0001,0.1,False,87.506516,62.261063,91.72436,64.42217
0,2,Volume,380,MLP,0.0005,5e-05,0.0,False,75.83541,53.228313,77.67258,55.52657
0,2,Volume,380,MLP,0.0005,5e-05,0.1,False,86.84942,62.554,90.21563,64.827
0,2,Volume,380,MLP,0.0001,0.0001,0.0,False,74.636086,51.9688,77.40491,55.22714
0,2,Volume,380,MLP,0.0001,0.0001,0.1,False,102.7566,78.77104,108.14694,82.81048
0,2,Volume,380,MLP,0.0001,5e-05,0.0,False,76.10985,53.07412,77.80084,55.95825
0,2,Volume,380,MLP,0.0001,5e-05,0.1,False,87.38299,60.781414,91.29506,62.873596
0,2,Dgv,380,MLP,0.0005,0.0001,0.0,False,7.569069,5.103135,6.899199,4.859218
0,2,Dgv,380,MLP,0.0005,0.0001,0.1,False,7.882706,5.4956055,7.654514,5.5767245
0,2,Dgv,380,MLP,0.0005,5e-05,0.0,False,7.5296187,5.113548,6.9784584,4.9143705
0,2,Dgv,380,MLP,0.0005,5e-05,0.1,False,8.309685,5.641754,8.392167,6.0274754
0,2,Dgv,380,MLP,0.0001,0.0001,0.0,False,7.6423707,5.2146125,6.8955865,4.8503933
0,2,Dgv,380,MLP,0.0001,0.0001,0.1,False,10.314183,7.571178,10.2710705,7.7686114
0,2,Dgv,380,MLP,0.0001,5e-05,0.0,False,7.5296783,5.0793853,7.0355935,5.0708737
0,2,Dgv,380,MLP,0.0001,5e-05,0.1,False,13.095777,10.625964,13.073279,10.728706
0,2,Volume,475,MLP,0.0005,0.0001,0.0,False,74.71994,51.99485,76.36306,54.504925
0,2,Volume,475,MLP,0.0005,0.0001,0.1,False,82.91379,58.41387,87.745415,60.82369
0,2,Volume,475,MLP,0.0005,5e-05,0.0,False,75.96719,52.763084,77.71449,56.158302
0,2,Volume,475,MLP,0.0005,5e-05,0.1,False,80.8333,55.851868,83.814445,57.60411
0,2,Volume,475,MLP,0.0001,0.0001,0.0,False,76.36659,53.71145,78.95389,56.81921
0,2,Volume,475,MLP,0.0001,0.0001,0.1,False,107.65362,76.47901,111.00857,78.91865
0,2,Volume,475,MLP,0.0001,5e-05,0.0,False,78.45945,56.24425,81.44787,58.65724
0,2,Volume,475,MLP,0.0001,5e-05,0.1,False,88.78901,64.325516,92.1174,67.16148
0,2,Dgv,475,MLP,0.0005,0.0001,0.0,False,7.6507955,5.3253813,6.969509,5.0321174
0,2,Dgv,475,MLP,0.0005,0.0001,0.1,False,27.038641,20.00676,26.609043,19.413221
0,2,Dgv,475,MLP,0.0005,5e-05,0.0,False,7.267352,4.894845,6.6333313,4.727019
0,2,Dgv,475,MLP,0.0005,5e-05,0.1,False,8.049763,5.5587406,7.9470587,5.792752
0,2,Dgv,475,MLP,0.0001,0.0001,0.0,False,7.3640776,4.9851923,6.581368,4.720552
0,2,Dgv,475,MLP,0.0001,0.0001,0.1,False,7.913276,5.530687,7.6967506,5.716367
0,2,Dgv,475,MLP,0.0001,5e-05,0.0,False,7.493137,5.026228,6.7057757,4.646496
0,2,Dgv,475,MLP,0.0001,5e-05,0.1,False,8.6480665,6.1589556,8.713387,6.5533624
0,2,Volume,570,MLP,0.0005,0.0001,0.0,False,75.94837,53.200176,76.05488,54.16685
0,2,Volume,570,MLP,0.0005,0.0001,0.1,False,82.30573,57.922073,87.18169,60.59284
0,2,Volume,570,MLP,0.0005,5e-05,0.0,False,73.44272,50.450325,73.59525,51.768204
0,2,Volume,570,MLP,0.0005,5e-05,0.1,False,76.94882,53.059048,79.319595,54.88977
0,2,Volume,570,MLP,0.0001,0.0001,0.0,False,75.795715,53.599762,77.018616,55.5444
0,2,Volume,570,MLP,0.0001,0.0001,0.1,False,78.65615,54.761414,80.927475,55.96204
0,2,Volume,570,MLP,0.0001,5e-05,0.0,False,74.96421,52.614338,76.36217,54.86062
0,2,Volume,570,MLP,0.0001,5e-05,0.1,False,77.47132,54.81186,82.04538,58.170616
0,2,Dgv,570,MLP,0.0005,0.0001,0.0,False,7.528397,5.071204,6.804251,4.890003
0,2,Dgv,570,MLP,0.0005,0.0001,0.1,False,8.711494,6.0469513,8.570506,6.2833853
0,2,Dgv,570,MLP,0.0005,5e-05,0.0,False,7.6357026,5.273976,6.998832,5.0312905
0,2,Dgv,570,MLP,0.0005,5e-05,0.1,False,23.102667,18.60616,23.879002,19.254679
0,2,Dgv,570,MLP,0.0001,0.0001,0.0,False,7.5748057,5.1760044,7.015224,4.9701767
0,2,Dgv,570,MLP,0.0001,0.0001,0.1,False,8.763,6.143769,8.555526,6.293488
0,2,Dgv,570,MLP,0.0001,5e-05,0.0,False,7.5923786,5.2734795,6.922231,5.0141287
0,2,Dgv,570,MLP,0.0001,5e-05,0.1,False,7.6945453,5.0373254,7.4966187,5.2764606
0,2,Volume,665,MLP,0.0005,0.0001,0.0,False,73.31505,50.32777,73.116135,51.630665
0,2,Volume,665,MLP,0.0005,0.0001,0.1,False,73.649635,50.036613,74.42597,51.599842
0,2,Volume,665,MLP,0.0005,5e-05,0.0,False,73.88663,52.25992,75.7838,54.213165
0,2,Volume,665,MLP,0.0005,5e-05,0.1,False,72.914276,50.293266,74.413124,51.953434
0,2,Volume,665,MLP,0.0001,0.0001,0.0,False,74.67508,50.937874,75.47229,52.8365
0,2,Volume,665,MLP,0.0001,0.0001,0.1,False,78.37355,54.88984,80.80281,56.20848
0,2,Volume,665,MLP,0.0001,5e-05,0.0,False,72.705025,49.66343,72.93227,50.83757
