,seed,target_column,target_instances,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
0,1,Hgv,855,TradaBoostR2,20,0.1,1,2.8395453055848368,2.1998592322200623,2.855818780417789,2.1732710315825488
0,1,Hgv,285,TradaBoostR2,20,0.5,1,2.619265568104613,1.9736820535073207,2.8404201244744263,2.12068316165504
0,2,Hgv,380,TradaBoostR2,20,0.1,2,4.541751592404658,2.557975550643311,3.189590782639479,2.4183355828348527
0,2,Hgv,190,TradaBoostR2,20,0.5,2,3.7316687590067374,2.4919092976054444,11.472715141714774,3.2589899988415274
0,1,Hgv,950,TradaBoostR2,20,0.1,1,2.6659054184334856,2.081441965824945,2.6683419691509624,2.056215444446043
0,1,Hgv,760,TradaBoostR2,30,0.1,1,2.6312354026057023,2.054664529697062,2.685111293819008,2.058247237769175
0,2,Hgv,285,TradaBoostR2,20,0.5,2,2.5351828299302803,1.9055014859737287,2.6652327161355025,2.006658272245298
0,1,Hgv,475,TradaBoostR2,30,0.1,1,3.1587065769191103,2.389722761722526,3.9298261475680496,2.509797914384907
0,1,Hgv,190,TradaBoostR2,20,0.5,2,3.058357928767369,2.278439572956931,3.1054997929600456,2.3524084562898966
0,1,Hgv,380,TradaBoostR2,30,0.1,2,94.54960466097552,14.912078085700687,60.4469048749293,12.6715136065846
0,2,Hgv,380,TradaBoostR2,20,0.5,1,2.312473923273139,1.6047146278256137,2.2573290870946296,1.6870020513097375
0,2,Hgv,95,TradaBoostR2,30,0.1,2,8.790321510601554,4.099625004734812,9.093572153540954,4.319553212594016
0,1,Hgv,570,TradaBoostR2,20,0.1,2,3.3423040666716677,2.5368229747258937,3.640901286019358,2.638864423997114
0,2,Hgv,475,TradaBoostR2,30,0.1,2,5.460310135058071,2.583761377824862,4.074471963719291,2.3406056216619464
0,2,Hgv,190,TradaBoostR2,30,0.1,1,3.2506615431409833,2.579154998660305,3.1689124022819173,2.5199739121819724
0,1,Hgv,285,TradaBoostR2,20,0.5,2,3.562929362114001,2.4309341905183377,3.552759839452666,2.5520406928177253
0,2,Hgv,285,TradaBoostR2,30,0.1,1,3.0099872972427,2.312776524109561,2.876737137710401,2.23803776038104
0,1,Hgv,665,TradaBoostR2,30,0.1,2,2.8472581939224173,2.1856451213032866,2.8050031640619206,2.1710057793833166
0,1,Hgv,855,TradaBoostR2,20,0.1,2,3.198872911074288,2.1822898187012654,3.2900290186084398,2.1731299302824825
0,1,Hgv,95,TradaBoostR2,30,0.1,2,17.643424806409836,6.966312143671448,30.70808208622782,8.640837814271404
0,1,Hgv,380,TradaBoostR2,30,0.5,1,2.754498922302256,1.9739311689589607,2.8083711775920506,2.014883661581736
0,1,Hgv,570,TradaBoostR2,20,0.5,1,2.433579181895071,1.8230205117057428,2.466793879137651,1.8506080696702665
0,2,Hgv,95,TradaBoostR2,30,0.5,1,3.4085601438458615,2.3902953264204374,3.607260932293789,2.533951318754584
0,1,Hgv,950,TradaBoostR2,20,0.1,2,2.7668650363680847,2.1009037790367096,2.69596259923452,2.060681557081886
0,1,Hgv,190,TradaBoostR2,30,0.1,1,3.9084898926083693,3.115234627027244,4.028501114737037,3.0791008489340848
