,seed,target_instances,d,method,base_lr,fine_tuning_lr,dropout_rate,batch_norm,val_rmse,val_mae,rmse,mae
0,2,100,1,MLP,0.0005,0.0001,0.0,True,4.0321136,3.6159568,3.9187915,3.4848585
0,1,300,2,MLP,0.0001,5e-05,0.1,True,1.4648666,1.1856443,1.4622266,1.1890453
0,1,300,3,MLP,0.0001,5e-05,0.1,True,1.551724,1.2514465,1.5856329,1.2888997
0,1,300,2,MLP,0.0001,5e-05,0.1,False,1.3473781,1.0576456,1.4010319,1.0780425
0,2,100,1,MLP,0.0005,0.0001,0.0,False,1.5958439,1.2618272,1.6610672,1.3193455
0,1,300,3,MLP,0.0001,5e-05,0.1,False,1.1932397,0.94997275,1.2498438,0.97462344
0,2,100,2,MLP,0.0005,0.0001,0.0,True,6.221158,5.507331,5.967289,5.2141204
0,2,100,3,MLP,0.0005,0.0001,0.0,True,8.781326,7.507447,8.38709,7.0626893
0,2,100,1,MLP,0.0005,0.0001,0.1,True,4.3810763,3.926386,4.2276335,3.7491548
0,2,100,2,MLP,0.0005,0.0001,0.0,False,2.5288153,2.026275,2.5404341,2.0169659
0,2,100,3,MLP,0.0005,0.0001,0.0,False,3.1423984,2.47425,3.135999,2.4746177
0,2,100,1,MLP,0.0005,0.0001,0.1,False,2.1498394,1.7373704,2.1651666,1.7274724
0,2,100,2,MLP,0.0005,0.0001,0.1,True,8.56423,7.6335588,8.27758,7.321809
0,2,100,3,MLP,0.0005,0.0001,0.1,True,8.705929,7.3342295,8.375185,6.9434137
0,2,100,2,MLP,0.0005,0.0001,0.1,False,2.3651078,1.9018364,2.4122612,1.9150593
0,2,100,3,MLP,0.0005,0.0001,0.1,False,3.2496645,2.566668,3.232561,2.5625308
0,2,100,1,MLP,0.0005,5e-05,0.0,True,2.3770494,2.0008016,2.2773583,1.9144218
0,2,100,3,MLP,0.0005,5e-05,0.0,True,8.954903,7.6987023,8.569233,7.2623467
0,2,100,2,MLP,0.0005,5e-05,0.0,True,6.6907415,5.921199,6.4664097,5.625025
0,2,100,1,MLP,0.0005,5e-05,0.0,False,1.6001846,1.287343,1.6717699,1.3459785
0,2,100,3,MLP,0.0005,5e-05,0.0,False,2.5121298,1.9779426,2.5604532,2.0157022
0,2,100,2,MLP,0.0005,5e-05,0.0,False,1.7215867,1.3980222,1.817345,1.4902639
0,2,100,1,MLP,0.0005,5e-05,0.1,True,3.8538604,3.403685,3.7642853,3.30745
0,2,100,3,MLP,0.0005,5e-05,0.1,True,7.1316333,5.92275,6.8906217,5.6519256
0,2,100,2,MLP,0.0005,5e-05,0.1,True,6.326897,5.558101,6.083671,5.2473574
0,2,100,1,MLP,0.0005,5e-05,0.1,False,1.797415,1.4224507,1.8463714,1.4357628
0,2,100,2,MLP,0.0005,5e-05,0.1,False,2.1743855,1.743329,2.2174819,1.7659067
0,2,100,3,MLP,0.0005,5e-05,0.1,False,2.0172334,1.5721109,2.1224153,1.6721565
0,2,100,3,MLP,0.0001,0.0001,0.0,True,9.782392,8.6289625,9.389214,8.195631
0,2,100,2,MLP,0.0001,0.0001,0.0,True,7.2196803,6.428894,6.977308,6.1321945
0,2,100,1,MLP,0.0001,0.0001,0.0,True,3.758363,3.3734663,3.653342,3.2467248
0,2,100,3,MLP,0.0001,0.0001,0.0,False,3.0923529,2.4541984,3.100492,2.458686
0,2,100,3,MLP,0.0001,0.0001,0.1,True,9.438189,8.027738,9.010488,7.5705967
0,2,100,2,MLP,0.0001,0.0001,0.0,False,1.7845447,1.4166157,1.9131068,1.5402774
0,2,100,1,MLP,0.0001,0.0001,0.0,False,1.6821964,1.3277522,1.7379743,1.3961014
0,2,100,2,MLP,0.0001,0.0001,0.1,True,9.326753,8.541326,9.073185,8.266735
0,2,100,3,MLP,0.0001,0.0001,0.1,False,1.9678485,1.5494812,2.0325701,1.6037049
0,2,100,1,MLP,0.0001,0.0001,0.1,True,5.96662,5.673708,5.799901,5.5058575
0,2,100,2,MLP,0.0001,0.0001,0.1,False,3.0101526,2.4215405,2.9977562,2.398186
0,2,100,3,MLP,0.0001,5e-05,0.0,True,8.394876,7.044975,8.047966,6.635349
0,2,100,1,MLP,0.0001,0.0001,0.1,False,1.9266037,1.555817,1.9927883,1.5863031
0,2,100,2,MLP,0.0001,5e-05,0.0,True,5.143524,4.416468,4.9322925,4.1716623
0,2,100,3,MLP,0.0001,5e-05,0.0,False,2.0138319,1.5841641,2.0823684,1.6524657
0,2,100,1,MLP,0.0001,5e-05,0.0,True,4.2603364,3.864652,4.1072865,3.697685
0,2,100,2,MLP,0.0001,5e-05,0.0,False,1.7194495,1.3690158,1.8306048,1.4714291
0,2,100,3,MLP,0.0001,5e-05,0.1,True,9.574244,8.236158,9.158505,7.7536535
0,2,100,3,MLP,0.0001,5e-05,0.1,False,3.4698954,2.7659926,3.4321759,2.7366245
0,2,100,1,MLP,0.0001,5e-05,0.0,False,1.7504961,1.3886951,1.8146172,1.4388518
0,2,100,2,MLP,0.0001,5e-05,0.1,True,6.6297574,5.8469863,6.4192038,5.576955
0,2,200,3,MLP,0.0005,0.0001,0.0,True,9.000057,7.614799,8.605828,7.131253
0,2,100,2,MLP,0.0001,5e-05,0.1,False,2.659043,2.1361198,2.67908,2.138814
0,2,100,1,MLP,0.0001,5e-05,0.1,True,3.6292217,3.1689174,3.5077581,3.016147
0,2,200,3,MLP,0.0005,0.0001,0.0,False,1.470772,1.1584703,1.5490414,1.2221011
0,2,200,2,MLP,0.0005,0.0001,0.0,True,4.679764,3.9615214,4.465449,3.7168672
0,2,100,1,MLP,0.0001,5e-05,0.1,False,2.670733,2.1804073,2.678919,2.158128
0,2,200,3,MLP,0.0005,0.0001,0.1,True,8.726768,7.327018,8.371854,6.88399
0,2,200,2,MLP,0.0005,0.0001,0.0,False,1.438863,1.1344956,1.489092,1.1740984
