,seed,target_column,train_size_,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
0,3,Volume,475,TradaBoostR2,10,0.1,2,95.37242822440955,60.25575534968896,90.89809547373915,62.23319704309322
0,2,Volume,760,TradaBoostR2,10,0.1,2,77.60269000239494,53.212003196918715,86.85566531835059,56.16323725697236
0,1,Volume,760,TradaBoostR2,10,0.1,2,86.00080729844932,57.045891476655925,84.61146598241677,54.569649057847286
0,1,Volume,855,TradaBoostR2,10,0.1,2,79.22257001271251,54.09041937613284,76.08816127135975,51.13775947573349
0,2,Volume,855,TradaBoostR2,10,0.1,2,80.45664265533784,56.04968621374834,85.03988438878379,54.9206670918223
0,1,Volume,95,TradaBoostR2,10,0.1,3,240.6172659767957,142.8866613221063,205.43039084779855,125.6716053672586
0,1,Volume,285,TradaBoostR2,10,0.1,3,273.9695028417733,126.4840710322645,316.81948937664913,136.84261625297572
0,3,Volume,285,TradaBoostR2,10,0.1,3,232.21283423459988,115.27366101280046,171.3374757357448,102.23729742066814
0,3,Volume,380,TradaBoostR2,10,0.1,3,147.4883845864337,70.88056960138752,115.77737131092617,67.30527203262503
0,2,Volume,190,TradaBoostR2,10,0.1,3,455.1242385893629,220.1335772881426,780.9952386161574,320.0609393215282
0,1,Volume,190,TradaBoostR2,10,0.1,3,144.83694835570344,93.34456623832686,155.33358228454318,93.9603112133441
0,3,Volume,95,TradaBoostR2,10,0.1,3,249.09905965751392,131.8335338195238,278.67774655288514,141.1749339374693
0,2,Volume,95,TradaBoostR2,10,0.1,3,383.91254427333877,139.72553797535838,331.64067238667786,141.0013503086461
0,2,Volume,285,TradaBoostR2,10,0.1,3,171.54971375977343,94.81947612360025,231.09966783215228,117.33619602108135
0,3,Volume,190,TradaBoostR2,10,0.1,3,447.9014651124313,177.9300553523479,305.4467737716516,147.59982279351365
0,1,Volume,950,TradaBoostR2,10,0.1,3,98.81782820925751,62.410410092094665,92.66095883124041,58.30448655485194
0,2,Volume,475,TradaBoostR2,10,0.1,3,241.1321466865122,104.84523599070977,260.3230628769406,111.34930993722666
0,2,Volume,380,TradaBoostR2,10,0.1,3,144.62252691459219,76.2447956128367,153.62627309234378,84.40045678528568
0,1,Volume,665,TradaBoostR2,10,0.1,3,98.73155644723295,62.93173034341852,117.29283790078208,66.8921104489467
0,1,Volume,570,TradaBoostR2,10,0.1,3,133.97207006786792,80.76841922682792,259.9699757916784,90.89650846517867
0,1,Volume,380,TradaBoostR2,10,0.1,3,156.35785496361208,86.49941989840586,193.7609092536282,99.74319407363667
0,1,Volume,475,TradaBoostR2,10,0.1,3,121.42872136364551,78.6887739713554,126.43189541883255,72.85050670746931
0,3,Volume,475,TradaBoostR2,10,0.1,3,453.31763376134523,169.81559347486754,610.8833562080158,224.42417344296197
