,seed,d,method,base_lr,fine_tuning_lr,dropout_rate,batch_norm,rmse,mae
137,16,6,MLP,0.0001,0.0001,0.0,False,1.7635832,1.4333763
138,16,6,MLP,0.0001,0.0001,0.1,True,9.402657,9.078277
139,16,6,MLP,0.0001,0.0001,0.1,False,1.8466227,1.5044332
140,16,6,MLP,0.0001,5e-05,0.0,True,9.462033,9.154684
141,16,6,MLP,0.0001,5e-05,0.0,False,1.8306624,1.4868038
142,16,6,MLP,0.0001,5e-05,0.1,True,9.325747,8.991498
143,16,6,MLP,0.0001,5e-05,0.1,False,1.8826667,1.5486164
144,17,2,MLP,0.0005,0.0001,0.0,True,2.211181,1.781706
145,17,2,MLP,0.0005,0.0001,0.0,False,1.7804242,1.4687514
146,17,2,MLP,0.0005,0.0001,0.1,True,2.6723437,2.2087944
147,17,2,MLP,0.0005,0.0001,0.1,False,1.7809863,1.4542378
148,17,2,MLP,0.0005,5e-05,0.0,True,2.289072,1.8223386
149,17,2,MLP,0.0005,5e-05,0.0,False,1.6575028,1.3603394
150,17,2,MLP,0.0005,5e-05,0.1,True,2.5676386,2.0644424
151,17,2,MLP,0.0005,5e-05,0.1,False,2.003902,1.6461625
152,17,2,MLP,0.0001,0.0001,0.0,True,6.412802,6.0664873
153,17,2,MLP,0.0001,0.0001,0.0,False,1.5107864,1.1890166
154,17,2,MLP,0.0001,0.0001,0.1,True,4.019672,3.5321598
155,17,2,MLP,0.0001,0.0001,0.1,False,1.9470432,1.60325
156,17,2,MLP,0.0001,5e-05,0.0,True,2.3603399,1.9205276
157,17,2,MLP,0.0001,5e-05,0.0,False,1.6402152,1.319657
158,17,2,MLP,0.0001,5e-05,0.1,True,2.0522578,1.6114751
159,17,2,MLP,0.0001,5e-05,0.1,False,1.7856543,1.4545283
160,17,4,MLP,0.0005,0.0001,0.0,True,5.2302294,4.5644894
161,17,4,MLP,0.0005,0.0001,0.0,False,1.7780432,1.4668044
162,17,4,MLP,0.0005,0.0001,0.1,True,6.3764625,5.741826
163,17,4,MLP,0.0005,0.0001,0.1,False,1.9063087,1.5545379
164,17,4,MLP,0.0005,5e-05,0.0,True,3.6129994,2.9054742
165,17,4,MLP,0.0005,5e-05,0.0,False,1.8514756,1.5045667
166,17,4,MLP,0.0005,5e-05,0.1,True,8.884689,8.576252
167,17,4,MLP,0.0005,5e-05,0.1,False,2.1257772,1.7479122
168,17,4,MLP,0.0001,0.0001,0.0,True,3.323733,2.6948647
169,17,4,MLP,0.0001,0.0001,0.0,False,1.8062019,1.4647559
170,17,4,MLP,0.0001,0.0001,0.1,True,3.2632418,2.6005
171,17,4,MLP,0.0001,0.0001,0.1,False,2.1355386,1.7501985
172,17,4,MLP,0.0001,5e-05,0.0,True,3.5995085,2.9113812
173,17,4,MLP,0.0001,5e-05,0.0,False,1.817624,1.4746748
174,17,4,MLP,0.0001,5e-05,0.1,True,5.10176,4.390334
175,17,4,MLP,0.0001,5e-05,0.1,False,2.013976,1.66277
176,17,6,MLP,0.0005,0.0001,0.0,True,6.7590976,5.9362774
177,17,6,MLP,0.0005,0.0001,0.0,False,1.8650997,1.530927
178,17,6,MLP,0.0005,0.0001,0.1,True,5.732142,4.706989
179,17,6,MLP,0.0005,0.0001,0.1,False,2.0468068,1.6759131
180,17,6,MLP,0.0005,5e-05,0.0,True,5.2307587,4.223046
181,17,6,MLP,0.0005,5e-05,0.0,False,1.8719401,1.5465738
182,17,6,MLP,0.0005,5e-05,0.1,True,5.596186,4.5373125
183,17,6,MLP,0.0005,5e-05,0.1,False,2.0468674,1.664209
184,17,6,MLP,0.0001,0.0001,0.0,True,6.7483454,5.880633
185,17,6,MLP,0.0001,0.0001,0.0,False,1.7580358,1.4412684
186,17,6,MLP,0.0001,0.0001,0.1,True,6.050466,5.0921245
187,17,6,MLP,0.0001,0.0001,0.1,False,2.0768943,1.7088476
