,seed,method,d,v,target_tree_size,rmse,mae
191,6,xgboost_naive_transfer,1,0.05,5,1.0407204975017748,0.7829048207180321
192,6,xgboost,1,0.05,6,2.3570854749043755,1.8981837019255499
193,6,xgboost_naive_transfer,1,0.05,6,1.069490185337161,0.8080016841305353
194,6,xgboost,1,0.05,7,2.4969531081966756,1.9975003253452723
195,6,xgboost_naive_transfer,1,0.05,7,1.1108054983488298,0.8400102540694424
196,6,xgboost,1,0.08,1,1.7117651766814956,1.3769114312714532
197,6,xgboost_naive_transfer,1,0.08,1,1.163459896159146,0.900108056756007
198,6,xgboost,1,0.08,2,1.6570323500831843,1.329215982338705
199,6,xgboost_naive_transfer,1,0.08,2,0.9395134966599322,0.6958151371601281
200,6,xgboost,1,0.08,3,1.7240675485225234,1.3820064576735265
201,6,xgboost_naive_transfer,1,0.08,3,0.9726918622113757,0.7221869306639068
202,6,xgboost,1,0.08,4,2.017687609110365,1.585839853679793
203,6,xgboost_naive_transfer,1,0.08,4,1.0124761608855193,0.7595931907599065
204,6,xgboost,1,0.08,5,2.1488858753652007,1.7134734189065588
205,6,xgboost_naive_transfer,1,0.08,5,1.02481919137464,0.7734864068461613
206,6,xgboost,1,0.08,6,2.381300856397399,1.9079555745027772
207,6,xgboost_naive_transfer,1,0.08,6,1.0480817624913032,0.7985118809805777
208,6,xgboost,1,0.08,7,2.4529624501592426,1.9616679625573397
209,6,xgboost_naive_transfer,1,0.08,7,1.1290218454960845,0.8634777842876761
210,6,xgboost,1,0.1,1,1.7609253585617617,1.422218286091893
211,6,xgboost_naive_transfer,1,0.1,1,1.1645219749386773,0.9010716194701572
212,6,xgboost,1,0.1,2,1.6767974401947472,1.3450718313036287
213,6,xgboost_naive_transfer,1,0.1,2,0.9154863883969936,0.6775298245280663
214,6,xgboost,1,0.1,3,1.7541329795796865,1.4003357953596542
215,6,xgboost_naive_transfer,1,0.1,3,0.9634686138163937,0.7160971954399954
216,6,xgboost,1,0.1,4,1.9910683946699612,1.5734867646015174
217,6,xgboost_naive_transfer,1,0.1,4,0.9904414039663595,0.7476240120257202
218,6,xgboost,1,0.1,5,2.185334617831412,1.7595621530885874
219,6,xgboost_naive_transfer,1,0.1,5,1.0893465029318787,0.8114461712864265
220,6,xgboost,1,0.1,6,2.3202040114756812,1.8660791781422235
221,6,xgboost_naive_transfer,1,0.1,6,1.0874068887571713,0.8277689442484282
222,6,xgboost,1,0.1,7,2.4488712318118613,1.9480080923878165
223,6,xgboost_naive_transfer,1,0.1,7,1.1419805026863772,0.8692633634412789
224,6,xgboost,1,0.12,1,1.7245155210332666,1.3864349717286277
225,6,xgboost_naive_transfer,1,0.12,1,1.199122595630547,0.9280667705246911
226,6,xgboost,1,0.12,2,1.673426539739891,1.3485995686495609
227,6,xgboost_naive_transfer,1,0.12,2,0.9339998200632198,0.6907250600220527
228,6,xgboost,1,0.12,3,1.7447176102483117,1.3931639683198618
229,6,xgboost_naive_transfer,1,0.12,3,0.9506604186462236,0.719817730296025
230,6,xgboost,1,0.12,4,2.0166305611824002,1.6054785752934886
231,6,xgboost_naive_transfer,1,0.12,4,1.0015468165888637,0.7534289380509519
232,6,xgboost,1,0.12,5,2.2031734360394495,1.7690877266616476
233,6,xgboost_naive_transfer,1,0.12,5,1.0775259942811157,0.8154171813948479
234,6,xgboost,1,0.12,6,2.351028895481041,1.8813887184407736
235,6,xgboost_naive_transfer,1,0.12,6,1.112885162558736,0.8404224083140026
236,6,xgboost,1,0.12,7,2.444690722501539,1.9469444949616588
237,6,xgboost_naive_transfer,1,0.12,7,1.1243511134634943,0.8534083194381535
238,6,xgboost,1,0.15,1,1.7454043043325491,1.4052245085038453
239,6,xgboost_naive_transfer,1,0.15,1,1.1917982940450937,0.9235189456386909
240,6,xgboost,1,0.15,2,1.6555507364292954,1.3242563132014327
241,6,xgboost_naive_transfer,1,0.15,2,0.9594946031101986,0.7089432022349851
242,6,xgboost,1,0.15,3,1.7857734903542615,1.426346257848133
243,6,xgboost_naive_transfer,1,0.15,3,0.9660266375604303,0.7276223700306179
244,6,xgboost,1,0.15,4,1.9771150497572152,1.5721075005499239
245,6,xgboost_naive_transfer,1,0.15,4,1.0527413428551893,0.7954707470899177
246,6,xgboost,1,0.15,5,2.161743515654351,1.7241590581159614
247,6,xgboost_naive_transfer,1,0.15,5,1.018716076155901,0.7728673651547484
248,6,xgboost,1,0.15,6,2.329883225664588,1.8569042660618365
249,6,xgboost_naive_transfer,1,0.15,6,1.1093849773579083,0.8552015025243874
250,6,xgboost,1,0.15,7,2.517308640720205,2.014541517175481
251,6,xgboost_naive_transfer,1,0.15,7,1.1221428731657221,0.8672197276425511
252,7,xgboost,1,0.005,1,2.133281678468154,1.6969018476035398
253,7,xgboost_naive_transfer,1,0.005,1,2.2461151246957316,1.8105029775897055
254,7,xgboost,1,0.005,2,1.6767446442954677,1.3396244056001547
255,7,xgboost_naive_transfer,1,0.005,2,1.4550654031672547,1.1586092764435425
256,7,xgboost,1,0.005,3,1.5901730452075669,1.262185809916718
257,7,xgboost_naive_transfer,1,0.005,3,1.0575280270064564,0.8395331439740928
258,7,xgboost,1,0.005,4,1.7671970205527652,1.3828230806573971
259,7,xgboost_naive_transfer,1,0.005,4,0.8753480314473675,0.6949950972634
260,7,xgboost,1,0.005,5,1.9610854197875152,1.5310611765166091
261,7,xgboost_naive_transfer,1,0.005,5,0.8108195003905332,0.6444558055613995
262,7,xgboost,1,0.005,6,2.1072451536575554,1.666238357926675
263,7,xgboost_naive_transfer,1,0.005,6,0.8096409192542185,0.6416195380007816
264,7,xgboost,1,0.005,7,2.355900344228369,1.8657341558751572
265,7,xgboost_naive_transfer,1,0.005,7,0.8467398385701234,0.6684848491661257
266,7,xgboost,1,0.01,1,1.695931182713665,1.35025963104955
267,7,xgboost_naive_transfer,1,0.01,1,1.6305917037409736,1.3094316419654948
268,7,xgboost,1,0.01,2,1.6013476415553407,1.278080275811251
269,7,xgboost_naive_transfer,1,0.01,2,0.905287285363636,0.7207563351670498
270,7,xgboost,1,0.01,3,1.5815896584570057,1.2558394270390631
271,7,xgboost_naive_transfer,1,0.01,3,0.740239939009961,0.5868120723051437
272,7,xgboost,1,0.01,4,1.758825597256394,1.3734474030876351
273,7,xgboost_naive_transfer,1,0.01,4,0.7301488168411401,0.5796863912850708
274,7,xgboost,1,0.01,5,1.9495785701058477,1.5282347982426594
275,7,xgboost_naive_transfer,1,0.01,5,0.7562774374553328,0.599863753250532
276,7,xgboost,1,0.01,6,2.097202653725556,1.659334522983705
277,7,xgboost_naive_transfer,1,0.01,6,0.8062541214757825,0.6394956115279977
278,7,xgboost,1,0.01,7,2.355177026182651,1.86287403298317
279,7,xgboost_naive_transfer,1,0.01,7,0.8482935591239811,0.6706456406897771
280,7,xgboost,1,0.02,1,1.6152823706006045,1.287264964716259
281,7,xgboost_naive_transfer,1,0.02,1,1.1529339715347406,0.9189615844552073
282,7,xgboost,1,0.02,2,1.596604477708869,1.2728760467075126
283,7,xgboost_naive_transfer,1,0.02,2,0.6907553152434267,0.5623956122157558
284,7,xgboost,1,0.02,3,1.5991405876927907,1.267788430496804
285,7,xgboost_naive_transfer,1,0.02,3,0.7011966204558275,0.5603181457765577
286,7,xgboost,1,0.02,4,1.7488654859267694,1.3661759347240225
