,seed,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
53,2,LADTransferTreeBoost,0.1,1,2,0.01,0.9,1.5908797397869967,1.2446654673532667,1.595530708636768,1.2504821879413117
54,2,LADTransferTreeBoost,0.1,1,2,0.05,0.5,1.6571655738407294,1.2982267773345817,1.687869410056259,1.3193887239821283
55,2,LADTransferTreeBoost,0.1,1,2,0.05,0.9,1.6468439017579821,1.2989979359292196,1.6833922528600145,1.3168485354901727
56,2,LADTransferTreeBoost,0.1,2,1,0.01,0.5,2.0590168976947902,1.5950090499453669,1.9330575738355735,1.499241005076862
57,2,LADTransferTreeBoost,0.1,2,1,0.01,0.9,1.9316889764462088,1.4902298141770325,1.804963579179058,1.4006618151472023
58,2,LADTransferTreeBoost,0.1,2,1,0.05,0.5,2.082357456768333,1.6091412636553712,1.9551027881237064,1.519848802134994
59,2,LADTransferTreeBoost,0.1,2,1,0.05,0.9,1.979912368177375,1.5322678565417494,1.8587066568567194,1.445715030873198
60,2,LADTransferTreeBoost,0.1,2,2,0.01,0.5,1.6379720956603037,1.2832254406670727,1.6835724624086648,1.3163030052026625
61,2,LADTransferTreeBoost,0.1,2,2,0.01,0.9,1.5775214819766712,1.2437526007916162,1.6002559524879205,1.2557266878193751
62,2,LADTransferTreeBoost,0.1,2,2,0.05,0.5,1.7033674162106536,1.3465638230313925,1.7481925338513522,1.3603640624302857
63,2,LADTransferTreeBoost,0.1,2,2,0.05,0.9,1.6235500907316271,1.272054061023578,1.6682436710625528,1.298486498461295
64,3,LADTransferTreeBoost,0.05,1,1,0.01,0.5,1.9166904668805496,1.5180343764225124,1.924848241999711,1.502229116096254
65,3,LADTransferTreeBoost,0.05,1,1,0.01,0.9,1.9922508085344015,1.5940372058037628,1.9850910523655736,1.5591343140578506
66,3,LADTransferTreeBoost,0.05,1,1,0.05,0.5,1.9934454388384406,1.5985398179507135,1.9859953852674963,1.5634660063866777
67,3,LADTransferTreeBoost,0.05,1,1,0.05,0.9,1.8804485838595486,1.4851775164239276,1.8917254604414973,1.4747161224884653
68,3,LADTransferTreeBoost,0.05,1,2,0.01,0.5,1.70637908005258,1.3648758877089375,1.763364864482389,1.3853903029998027
69,3,LADTransferTreeBoost,0.05,1,2,0.01,0.9,1.6029106179518129,1.2828981705817422,1.6407527185045503,1.3033170933163656
70,3,LADTransferTreeBoost,0.05,1,2,0.05,0.5,1.8380285725390781,1.4644142685903037,1.8910371146324383,1.4879983688153537
71,3,LADTransferTreeBoost,0.05,1,2,0.05,0.9,1.6794291668392052,1.369228718187387,1.7032614016166847,1.3508546796039522
72,3,LADTransferTreeBoost,0.05,2,1,0.01,0.5,1.8895503329337213,1.5377059659965278,1.882495135140485,1.4926779376318022
73,3,LADTransferTreeBoost,0.05,2,1,0.01,0.9,1.8500617284412602,1.4732226563352933,1.837804595670361,1.4478339255393984
74,3,LADTransferTreeBoost,0.05,2,1,0.05,0.5,2.28401487600882,1.900973298218682,2.2158836284065737,1.7940772850185802
75,3,LADTransferTreeBoost,0.05,2,1,0.05,0.9,1.8345632592761936,1.4633152247084948,1.8412469101810398,1.4455242287049437
76,3,LADTransferTreeBoost,0.05,2,2,0.01,0.5,1.809767251005841,1.4424070703097396,1.8574840971929643,1.4649463384511725
77,3,LADTransferTreeBoost,0.05,2,2,0.01,0.9,1.671256786412502,1.3431979587845282,1.7336826088544215,1.359929038470127
78,3,LADTransferTreeBoost,0.05,2,2,0.05,0.5,1.7947645475503518,1.4197271696525136,1.8662502892877484,1.4613036432793978
79,3,LADTransferTreeBoost,0.05,2,2,0.05,0.9,2.0316136015884902,1.588642744342541,2.093530420705301,1.6267364266154014
80,3,LADTransferTreeBoost,0.1,1,1,0.01,0.5,1.9209929678379964,1.5123368955847851,1.9196874961440362,1.4941942063082785
81,3,LADTransferTreeBoost,0.1,1,1,0.01,0.9,1.8767219640704182,1.4793278230620077,1.8677047016197998,1.4536238518095734
82,3,LADTransferTreeBoost,0.1,1,1,0.05,0.5,1.9350252241894679,1.5367211501251972,1.9452836938363633,1.52569455077349
83,3,LADTransferTreeBoost,0.1,1,1,0.05,0.9,1.9215262501761143,1.5046956217724574,1.9188146063914218,1.4930900988908093
84,3,LADTransferTreeBoost,0.1,1,2,0.01,0.5,1.6506561406265339,1.3128339792232957,1.7130164913769461,1.3473640038422119
85,3,LADTransferTreeBoost,0.1,1,2,0.01,0.9,1.8467348046892198,1.4628030924765039,1.923827558519976,1.514098360747963
86,3,LADTransferTreeBoost,0.1,1,2,0.05,0.5,1.8700627584607026,1.4823153274114185,1.9134810377087235,1.5062974025197486
87,3,LADTransferTreeBoost,0.1,1,2,0.05,0.9,1.8741610889918552,1.4737794385544547,1.9362104059174545,1.5193688593862207
88,3,LADTransferTreeBoost,0.1,2,1,0.01,0.5,1.9495634959169028,1.6100079227047885,1.9320046459223914,1.550409418994247
89,3,LADTransferTreeBoost,0.1,2,1,0.01,0.9,1.8057840615343868,1.4119194017616596,1.82159386232987,1.419111632799179
90,3,LADTransferTreeBoost,0.1,2,1,0.05,0.5,1.8599261352288454,1.463971879752835,1.854349691033728,1.4516629859365286
91,3,LADTransferTreeBoost,0.1,2,1,0.05,0.9,1.872271078158609,1.476350131599402,1.8889366389402944,1.4740357152495684
92,3,LADTransferTreeBoost,0.1,2,2,0.01,0.5,1.7686536678631395,1.4026352504282809,1.8574196355009314,1.4525524088392823
93,3,LADTransferTreeBoost,0.1,2,2,0.01,0.9,1.5987333366286889,1.2725445336751913,1.663580609123486,1.3110586023991222
94,3,LADTransferTreeBoost,0.1,2,2,0.05,0.5,1.6312797086001871,1.2998106127552345,1.7042821054681065,1.341818679276565
95,3,LADTransferTreeBoost,0.1,2,2,0.05,0.9,1.6533478209910621,1.3225582458237846,1.7003968742896247,1.3420418343375444
96,4,LADTransferTreeBoost,0.05,1,1,0.01,0.5,1.663207560854395,1.3222295693510933,1.6325229730720776,1.2762880412349589
97,4,LADTransferTreeBoost,0.05,1,1,0.01,0.9,1.6473194516816945,1.3146204316260832,1.6071039149537456,1.2576539049482955
98,4,LADTransferTreeBoost,0.05,1,1,0.05,0.5,1.722777646234122,1.3727626872614642,1.6806581670435794,1.324273322650271
99,4,LADTransferTreeBoost,0.05,1,1,0.05,0.9,1.7013562307484278,1.3570766917030512,1.664285819711461,1.3043624881471105
100,4,LADTransferTreeBoost,0.05,1,2,0.01,0.5,1.72940185045133,1.3680459882593021,1.6617419837921954,1.3082877949324516
101,4,LADTransferTreeBoost,0.05,1,2,0.01,0.9,1.646875258755636,1.3001601984780833,1.605426418573611,1.270733621734159
102,4,LADTransferTreeBoost,0.05,1,2,0.05,0.5,1.7429521895146851,1.3836077466349808,1.69304549376496,1.3441242780701332
103,4,LADTransferTreeBoost,0.05,1,2,0.05,0.9,1.6866362543097444,1.336832006685985,1.6446375042014745,1.2983693843993092
104,4,LADTransferTreeBoost,0.05,2,1,0.01,0.5,2.0328443463680896,1.6231861694205523,2.0243513447703663,1.6153877416669393
